學年度,設立別,學校類別,學校統計處代碼,學校名稱,系所代碼,系所名稱,學制班別(日間),外國學生小計,外國學生數男,外國學生女,外國學生數之在學比率(%)
111,公立,一般大學,0002,國立清華大學,04199017,科技管理研究所,博士班,1,1,0,4.17
111,公立,一般大學,0002,國立清華大學,04199022,服務科學研究所,博士班,12,10,2,70.59
111,公立,一般大學,0002,國立清華大學,04199023,科技管理學院學士班,學士班(日間),62,26,36,19.31
111,公立,一般大學,0002,國立清華大學,05121025,生命科學系,學士班(日間),2,1,1,0.96
111,公立,一般大學,0002,國立清華大學,05121026,生物科技研究所,碩士班(日間),1,0,1,1.89
111,公立,一般大學,0002,國立清華大學,05121026,生物科技研究所,博士班,3,1,2,7.69
111,公立,一般大學,0002,國立清華大學,05121028,分子與細胞生物研究所,碩士班(日間),1,0,1,2.13
111,公立,一般大學,0002,國立清華大學,05121028,分子與細胞生物研究所,博士班,10,5,5,32.26
111,公立,一般大學,0002,國立清華大學,05121030,生物資訊與結構生物研究所,碩士班(日間),4,3,1,6.45
111,公立,一般大學,0002,國立清華大學,05121030,生物資訊與結構生物研究所,博士班,10,7,3,27.78
111,公立,一般大學,0002,國立清華大學,05121072,分子醫學研究所,博士班,5,0,5,21.74
111,公立,一般大學,0002,國立清華大學,05199033,系統神經科學研究所,博士班,1,0,1,10.00
111,公立,一般大學,0002,國立清華大學,05211041,環境科技博士學位學程(台灣聯合大學系統),博士班,10,6,4,100.00
111,公立,一般大學,0002,國立清華大學,05311037,化學系,碩士班(日間),2,1,1,0.97
111,公立,一般大學,0002,國立清華大學,05311037,化學系,博士班,42,30,12,48.28
111,公立,一般大學,0002,國立清華大學,05331038,物理學系,學士班(日間),1,1,0,0.34
111,公立,一般大學,0002,國立清華大學,05331038,物理學系,碩士班(日間),8,7,1,4.02
111,公立,一般大學,0002,國立清華大學,05331038,物理學系,博士班,14,12,2,17.28
111,公立,一般大學,0002,國立清華大學,05332039,天文研究所,碩士班(日間),2,1,1,10.53
111,公立,一般大學,0002,國立清華大學,05332039,天文研究所,博士班,11,6,5,57.89
111,公立,一般大學,0002,國立清華大學,05411043,數學系,碩士班(日間),1,1,0,2.33
111,公立,一般大學,0002,國立清華大學,05421044,統計學研究所,碩士班(日間),1,1,0,1.85
111,公立,一般大學,0002,國立清華大學,06131053,資訊工程學系,學士班(日間),5,4,1,0.85
111,公立,一般大學,0002,國立清華大學,06131053,資訊工程學系,碩士班(日間),12,11,1,2.73
111,公立,一般大學,0002,國立清華大學,06131053,資訊工程學系,博士班,1,0,1,1.56
111,公立,一般大學,0002,國立清華大學,06131122,資訊安全研究所,碩士班(日間),2,1,1,3.03
111,公立,一般大學,0002,國立清華大學,06134046,資訊系統與應用研究所,碩士班(日間),34,24,10,20.12
111,公立,一般大學,0002,國立清華大學,06134046,資訊系統與應用研究所,博士班,2,2,0,7.69
111,公立,一般大學,0002,國立清華大學,06134048,社群網路與人智計算國際研究生博士學位學程,博士班,16,10,6,94.12
111,公立,一般大學,0002,國立清華大學,07111057,化學工程學系,學士班(日間),8,4,4,3.11
111,公立,一般大學,0002,國立清華大學,07111057,化學工程學系,碩士班(日間),14,4,10,6.80
111,公立,一般大學,0002,國立清華大學,07111057,化學工程學系,博士班,24,17,7,26.09
111,公立,一般大學,0002,國立清華大學,07112058,材料科學工程學系,學士班(日間),1,1,0,0.22
111,公立,一般大學,0002,國立清華大學,07112058,材料科學工程學系,碩士班(日間),2,0,2,0.62
111,公立,一般大學,0002,國立清華大學,07112058,材料科學工程學系,博士班,20,13,7,16.53
111,公立,一般大學,0002,國立清華大學,07112071,工學院學士班,學士班(日間),6,5,1,4.03
111,公立,一般大學,0002,國立清華大學,07131068,核子工程與科學研究所,碩士班(日間),3,1,2,5.45
111,公立,一般大學,0002,國立清華大學,07131068,核子工程與科學研究所,博士班,2,1,1,10.00
111,公立,一般大學,0002,國立清華大學,07141049,電機工程學系,學士班(日間),4,4,0,0.82
111,公立,一般大學,0002,國立清華大學,07141049,電機工程學系,碩士班(日間),3,3,0,0.73
