學年度,設立別,學校類別,學校統計處代碼,學校名稱,學制班別,前一學年度錄取1年級在學學生人數(A),當學年度2年級在學學生數(B),前一學年度學生就學穩定率(%)(C)(C=B/A)
112,私立,一般大學,1125,中信學校財團法人中信金融管理學院,學士班(日間),198,170,85.86
112,私立,技專校院,1148,大漢技術學院,二專(進修),41,28,68.29
112,私立,技專校院,1148,大漢技術學院,學士班(日間),19,12,63.16
112,私立,技專校院,1148,大漢技術學院,學士班(進修),172,120,69.77
112,私立,技專校院,1168,南亞科技學校財團法人南亞技術學院,學士班(日間),231,169,73.16
112,私立,技專校院,1168,南亞科技學校財團法人南亞技術學院,學士班(進修),487,420,86.24
112,私立,技專校院,1183,黎明技術學院,五專,83,69,83.13
112,私立,技專校院,1183,黎明技術學院,學士班(日間),642,426,66.36
112,私立,技專校院,1183,黎明技術學院,學士班(進修),479,238,49.69
112,私立,技專校院,1185,德育學校財團法人德育護理健康學院,二專(進修),91,71,78.02
112,私立,技專校院,1185,德育學校財團法人德育護理健康學院,五專,184,160,86.96
112,私立,技專校院,1185,德育學校財團法人德育護理健康學院,學士班(日間),230,185,80.43
112,私立,技專校院,1185,德育學校財團法人德育護理健康學院,學士班(進修),364,318,87.36
112,私立,一般大學,1195,馬偕學校財團法人馬偕醫學院,學士班(日間),128,121,94.53
112,私立,一般大學,1195,馬偕學校財團法人馬偕醫學院,學士班(進修),16,15,93.75
112,私立,一般大學,1196,法鼓學校財團法人法鼓文理學院,學士班(日間),10,8,80.00
112,私立,技專校院,1282,馬偕學校財團法人馬偕醫護管理專科學校,二專(進修),76,68,89.47
112,私立,技專校院,1282,馬偕學校財團法人馬偕醫護管理專科學校,五專,856,783,91.47
112,私立,技專校院,1283,仁德醫護管理專科學校,二專(進修),228,150,65.79
112,私立,技專校院,1283,仁德醫護管理專科學校,五專,1115,960,86.10
112,私立,技專校院,1284,樹人醫護管理專科學校,二專(進修),216,188,87.04
112,私立,技專校院,1284,樹人醫護管理專科學校,五專,1435,1291,89.97
112,私立,技專校院,1285,慈惠醫護管理專科學校,二專(日間),34,31,91.18
112,私立,技專校院,1285,慈惠醫護管理專科學校,二專(進修),69,49,71.01
112,私立,技專校院,1285,慈惠醫護管理專科學校,五專,309,268,86.73
112,私立,技專校院,1286,耕莘健康管理專科學校,二專(進修),40,35,87.50
112,私立,技專校院,1286,耕莘健康管理專科學校,五專,792,727,91.79
112,私立,技專校院,1287,敏惠醫護管理專科學校,二專(進修),36,32,88.89
112,私立,技專校院,1287,敏惠醫護管理專科學校,五專,658,621,94.38
112,私立,技專校院,1289,育英醫護管理專科學校,五專,367,339,92.37
112,私立,技專校院,1291,聖母醫護管理專科學校,二專(進修),24,16,66.67
112,私立,技專校院,1291,聖母醫護管理專科學校,五專,252,225,89.29
112,私立,技專校院,1292,新生醫護管理專科學校,二專(進修),43,34,79.07
112,私立,技專校院,1292,新生醫護管理專科學校,五專,1218,1124,92.28
112,私立,技專校院,1293,崇仁醫護管理專科學校,五專,593,553,93.25
112,私立,宗教研修學院,1R03,臺北基督學院,學士班(日間),18,8,44.44
112,私立,宗教研修學院,1R04,財團法人一貫道天皇基金會一貫道天皇學院,學士班(日間),19,0,0.00
112,公立,一般大學,3002,臺北市立大學,學士班(日間),1219,1111,91.14
