學年度,學期,設立別,學校類別,學校統計處代碼,學校名稱,學制班別,性別,在學學生數,學期間退學人數-總計,學期間退學人數-學生自請退學-小計,學期間退學人數-學生自請退學-就讀學校、科系不符期待,學期間退學人數-學生自請退學-懷孕,學期間退學人數-學生自請退學-育嬰,學期間退學人數-學生自請退學-傷病,學期間退學人數-學生自請退學-經濟困難,學期間退學人數-學生自請退學-工作,學期間退學人數-學生自請退學-其他(不含死亡),學期間退學人數-學校勒令退學-小計,學期間退學人數-學校勒令退學-成績不佳或曠課時數過多,學期間退學人數-學校勒令退學-操行成績,學期間退學人數-學校勒令退學-因逾期未註冊,學期間退學人數-學校勒令退學-因休學逾期未復學,學期間退學人數-學校勒令退學-其他(不含死亡)
112,1,公立,一般大學,0008,國立中央大學,碩士在職專班,女,597,13,1,0,0,0,0,0,1,0,12,2,0,1,9,0
112,1,公立,一般大學,0008,國立中央大學,博士班,女,300,16,6,2,0,1,0,0,3,0,10,2,0,3,5,0
112,1,公立,一般大學,0009,國立中山大學,學士班(日間),男,3051,70,29,28,0,0,0,0,1,0,41,16,0,4,21,0
112,1,公立,一般大學,0009,國立中山大學,碩士班(日間),男,2085,85,43,33,0,0,0,0,7,3,42,4,0,7,31,0
112,1,公立,一般大學,0009,國立中山大學,碩士在職專班,男,510,33,9,4,0,0,0,0,3,2,24,0,0,10,14,0
112,1,公立,一般大學,0009,國立中山大學,博士班,男,520,27,15,5,0,1,1,0,6,2,12,3,0,4,5,0
112,1,公立,一般大學,0009,國立中山大學,學士班(日間),女,1989,41,23,21,0,0,1,0,1,0,18,2,0,2,14,0
112,1,公立,一般大學,0009,國立中山大學,碩士班(日間),女,1330,35,12,7,0,0,1,0,4,0,23,3,0,4,16,0
112,1,公立,一般大學,0009,國立中山大學,碩士在職專班,女,542,15,7,2,0,1,0,0,4,0,8,0,0,2,6,0
112,1,公立,一般大學,0009,國立中山大學,博士班,女,319,10,3,1,0,0,1,0,1,0,7,0,0,3,4,0
112,1,公立,一般大學,0012,國立臺灣海洋大學,學士班(日間),男,4176,120,82,76,0,0,0,2,4,0,38,5,0,10,23,0
