學年度,設立別,學校類別,學校統計處代碼,學校名稱,系所代碼,系所名稱,學制班別,性別,在學學生數,於學年底處於休學狀態之人數-總計,於學年底處於休學狀態之人數-因傷病,於學年底處於休學狀態之人數-因經濟困難,於學年底處於休學狀態之人數-因學業成績不佳,於學年底處於休學狀態之人數-因志趣不合,於學年底處於休學狀態之人數-因工作需求,於學年底處於休學狀態之人數-因懷孕,於學年底處於休學狀態之人數-因育嬰,於學年底處於休學狀態之人數-因兵役,於學年底處於休學狀態之人數-因出國,於學年底處於休學狀態之人數-因論文撰寫,於學年底處於休學狀態之人數-因適應不良,於學年底處於休學狀態之人數-因家人傷病,於學年底處於休學狀態之人數-因考試訓練,於學年底處於休學狀態之人數-因逾期未註冊、繳費、選課,於學年底處於休學狀態之人數-其他
107,私立,一般大學,1003,東吳大學,09231030,社會工作學系,碩士班(日間),女,62,15,0,1,0,0,6,0,1,0,0,3,0,0,0,...,4
107,私立,一般大學,1004,中原大學,01111001,教育研究所,碩士班(日間),男,8,1,1,0,0,0,0,0,0,0,0,0,0,0,0,...,0
107,私立,一般大學,1004,中原大學,01111001,教育研究所,碩士在職專班,男,14,2,0,0,0,0,2,0,0,0,0,0,0,0,0,...,0
107,私立,一般大學,1004,中原大學,01111001,教育研究所,碩士班(日間),女,18,9,1,0,0,0,1,0,2,0,0,2,0,0,1,...,2
107,私立,一般大學,1004,中原大學,01111001,教育研究所,碩士在職專班,女,70,13,0,1,0,0,4,0,5,0,0,1,0,1,1,...,0
107,私立,一般大學,1004,中原大學,01113002,特殊教育學系,學士班(日間),男,58,4,0,0,0,2,0,0,0,0,0,0,1,0,0,...,1
107,私立,一般大學,1004,中原大學,01113002,特殊教育學系,碩士班(日間),男,8,6,1,0,0,0,2,0,2,0,0,1,0,0,0,...,0
107,私立,一般大學,1004,中原大學,01113002,特殊教育學系,學士班(日間),女,187,8,1,0,0,2,2,0,1,0,0,0,0,0,1,...,1
107,私立,一般大學,1004,中原大學,01113002,特殊教育學系,碩士班(日間),女,38,21,0,0,0,0,10,2,4,0,0,2,0,0,1,...,2
107,私立,一般大學,1004,中原大學,02112008,商業設計學系,學士班(日間),男,77,4,0,0,0,1,1,0,0,0,0,0,1,0,0,...,1
107,私立,一般大學,1004,中原大學,02112008,商業設計學系,碩士班(日間),男,5,1,0,0,0,0,1,0,0,0,0,0,0,0,0,...,0
107,私立,一般大學,1004,中原大學,02112008,商業設計學系,碩士在職專班,男,5,1,0,0,0,0,1,0,0,0,0,0,0,0,0,...,0
107,私立,一般大學,1004,中原大學,02112008,商業設計學系,學士班(日間),女,267,10,2,0,3,2,3,0,0,0,0,0,0,0,0,...,0
107,私立,一般大學,1004,中原大學,02112008,商業設計學系,碩士班(日間),女,18,4,0,0,0,1,2,0,0,0,0,0,0,0,1,...,0
107,私立,一般大學,1004,中原大學,02112008,商業設計學系,碩士在職專班,女,10,3,0,0,0,0,3,0,0,0,0,0,0,0,0,...,0
107,私立,一般大學,1004,中原大學,02121B01,學士後數位音樂應用學士學位學程,學士班(日間),男,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,...,0
107,私立,一般大學,1004,中原大學,02122007,設計學博士學位學程,博士班,男,24,7,0,0,0,0,3,0,2,0,0,0,0,0,0,...,2
107,私立,一般大學,1004,中原大學,02122007,設計學博士學位學程,博士班,女,25,4,0,0,0,0,2,0,1,0,0,1,0,0,0,...,0
107,私立,一般大學,1004,中原大學,02122010,文化創意設計碩士學位學程,碩士班(日間),男,9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,...,0
107,私立,一般大學,1004,中原大學,02122010,文化創意設計碩士學位學程,碩士班(日間),女,11,1,0,0,0,0,0,0,1,0,0,0,0,0,0,...,0
107,私立,一般大學,1004,中原大學,02122048,設計學院設計學士原住民專班,學士班(日間),男,19,1,0,1,0,0,0,0,0,0,0,0,0,0,0,...,0
107,私立,一般大學,1004,中原大學,02122048,設計學院設計學士原住民專班,學士班(日間),女,45,4,0,0,0,2,2,0,0,0,0,0,0,0,0,...,0
107,私立,一般大學,1004,中原大學,02122055,設計學院社會設計學士學位學程,學士班(日間),男,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,...,0
107,私立,一般大學,1004,中原大學,02122055,設計學院社會設計學士學位學程,學士班(日間),女,5,2,1,0,0,1,0,0,0,0,0,0,0,0,0,...,0
107,私立,一般大學,1004,中原大學,02124009,室內設計學系,學士班(日間),男,113,7,0,1,0,1,2,0,0,0,1,0,1,0,0,...,1
107,私立,一般大學,1004,中原大學,02124009,室內設計學系,碩士班(日間),男,20,0,0,0,0,0,0,0,0,0,0,0,0,0,0,...,0
107,私立,一般大學,1004,中原大學,02124009,室內設計學系,碩士在職專班,男,41,6,0,0,0,0,4,0,1,0,0,1,0,0,0,...,0
107,私立,一般大學,1004,中原大學,02124009,室內設計學系,學士班(日間),女,259,1,0,0,0,0,0,0,0,0,0,0,0,0,0,...,1
107,私立,一般大學,1004,中原大學,02124009,室內設計學系,碩士班(日間),女,28,3,0,0,0,0,2,0,0,0,1,0,0,0,0,...,0
107,私立,一般大學,1004,中原大學,02124009,室內設計學系,碩士在職專班,女,34,6,0,0,0,0,2,0,1,0,0,0,0,2,1,...,0
107,私立,一般大學,1004,中原大學,02211006,宗教研究所,碩士班(日間),男,8,3,0,0,0,0,2,0,0,0,0,0,0,0,0,...,1
107,私立,一般大學,1004,中原大學,02211006,宗教研究所,碩士在職專班,男,11,5,1,1,0,0,1,0,1,0,0,0,0,1,0,...,0
107,私立,一般大學,1004,中原大學,02211006,宗教研究所,碩士班(日間),女,7,3,1,0,0,0,0,0,0,0,0,1,0,0,0,...,1
107,私立,一般大學,1004,中原大學,02211006,宗教研究所,碩士在職專班,女,6,2,0,0,0,0,1,0,0,0,0,1,0,0,0,...,0
107,私立,一般大學,1004,中原大學,02299053,人文與教育學院學士學位學程,學士班(日間),男,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,...,0
107,私立,一般大學,1004,中原大學,02299053,人文與教育學院學士學位學程,學士班(日間),女,10,0,0,0,0,0,0,0,0,0,0,0,0,0,0,...,0
107,私立,一般大學,1004,中原大學,02311005,應用外國語文學系,學士班(日間),男,98,1,0,0,1,0,0,0,0,0,0,0,0,0,0,...,0
107,私立,一般大學,1004,中原大學,02311005,應用外國語文學系,碩士班(日間),男,12,1,0,0,0,0,1,0,0,0,0,0,0,0,0,...,0
107,私立,一般大學,1004,中原大學,02311005,應用外國語文學系,學士班(日間),女,317,13,1,0,0,6,1,0,0,0,1,0,1,0,1,...,2
107,私立,一般大學,1004,中原大學,02311005,應用外國語文學系,碩士班(日間),女,22,1,0,0,0,0,0,0,0,0,0,0,0,0,0,...,1
107,私立,一般大學,1004,中原大學,02323004,應用華語文學系,學士班(日間),男,88,1,0,0,0,0,1,0,0,0,0,0,0,0,0,...,0
107,私立,一般大學,1004,中原大學,02323004,應用華語文學系,碩士班(日間),男,5,3,0,0,0,0,1,0,0,0,0,1,0,0,1,...,0
107,私立,一般大學,1004,中原大學,02323004,應用華語文學系,學士班(日間),女,424,11,0,1,1,2,2,0,0,0,3,0,0,0,0,...,2
107,私立,一般大學,1004,中原大學,02323004,應用華語文學系,碩士班(日間),女,45,9,0,0,0,0,2,0,1,0,1,5,0,0,0,...,0
107,私立,一般大學,1004,中原大學,03131011,心理學系,學士班(日間),男,206,8,0,0,3,2,0,0,0,2,0,0,0,0,0,...,1
107,私立,一般大學,1004,中原大學,03131011,心理學系,碩士班(日間),男,26,10,0,0,0,1,0,0,0,0,0,6,1,0,1,...,1
107,私立,一般大學,1004,中原大學,03131011,心理學系,碩士在職專班,男,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,...,0
107,私立,一般大學,1004,中原大學,03131011,心理學系,學士班(日間),女,337,16,0,1,2,7,2,0,0,0,1,0,1,1,0,...,1
107,私立,一般大學,1004,中原大學,03131011,心理學系,碩士班(日間),女,56,7,0,0,0,1,0,0,0,0,1,5,0,0,0,...,0
107,私立,一般大學,1004,中原大學,03131011,心理學系,碩士在職專班,女,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,...,0
107,私立,一般大學,1004,中原大學,04111013,會計學系,學士班(日間),男,247,5,0,1,0,1,1,0,0,0,0,0,0,1,0,...,1
107,私立,一般大學,1004,中原大學,04111013,會計學系,碩士班(日間),男,16,0,0,0,0,0,0,0,0,0,0,0,0,0,0,...,0
107,私立,一般大學,1004,中原大學,04111013,會計學系,碩士在職專班,男,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,...,0
107,私立,一般大學,1004,中原大學,04111013,會計學系,學士班(日間),女,456,12,1,0,1,7,1,0,0,0,1,0,0,0,0,...,1
107,私立,一般大學,1004,中原大學,04111013,會計學系,碩士班(日間),女,30,2,0,0,0,0,1,0,0,0,0,0,0,0,0,...,1
107,私立,一般大學,1004,中原大學,04111013,會計學系,碩士在職專班,女,14,3,0,0,0,0,1,1,1,0,0,0,0,0,0,...,0
107,私立,一般大學,1004,中原大學,04121019,財務金融學系,學士班(日間),男,241,4,1,0,0,1,1,0,0,0,0,0,0,0,0,...,1
107,私立,一般大學,1004,中原大學,04121019,財務金融學系,碩士班(日間),男,15,0,0,0,0,0,0,0,0,0,0,0,0,0,0,...,0
107,私立,一般大學,1004,中原大學,04121019,財務金融學系,學士班(日間),女,270,5,0,0,1,4,0,0,0,0,0,0,0,0,0,...,0
107,私立,一般大學,1004,中原大學,04121019,財務金融學系,碩士班(日間),女,10,1,0,0,0,0,1,0,0,0,0,0,0,0,0,...,0
107,私立,一般大學,1004,中原大學,04131014,企業管理學系,學士班(日間),男,383,12,0,1,2,1,2,0,1,1,3,0,0,1,0,...,0
107,私立,一般大學,1004,中原大學,04131014,企業管理學系,碩士班(日間),男,26,3,1,0,0,0,0,0,0,0,0,0,0,0,0,...,2
107,私立,一般大學,1004,中原大學,04131014,企業管理學系,碩士在職專班,男,91,15,0,2,0,0,8,0,3,0,0,2,0,0,0,...,0
107,私立,一般大學,1004,中原大學,04131014,企業管理學系,博士班,男,19,2,0,0,0,0,0,0,0,0,1,1,0,0,0,...,0
107,私立,一般大學,1004,中原大學,04131014,企業管理學系,學士班(日間),女,568,12,1,0,1,1,3,0,2,0,1,0,0,1,0,...,2
107,私立,一般大學,1004,中原大學,04131014,企業管理學系,碩士班(日間),女,32,1,0,0,0,0,1,0,0,0,0,0,0,0,0,...,0
107,私立,一般大學,1004,中原大學,04131014,企業管理學系,碩士在職專班,女,64,11,0,1,0,0,8,0,2,0,0,0,0,0,0,...,0
107,私立,一般大學,1004,中原大學,04131014,企業管理學系,博士班,女,17,5,1,0,0,0,3,1,0,0,0,0,0,0,0,...,0
107,私立,一般大學,1004,中原大學,04131014,企業管理學系現役軍人營區碩士在職專班,碩士在職專班,男,27,2,0,0,0,0,2,0,0,0,0,0,0,0,0,...,0
107,私立,一般大學,1004,中原大學,04131014,企業管理學系現役軍人營區碩士在職專班,碩士在職專班,女,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,...,0
107,私立,一般大學,1004,中原大學,04141018,國際經營與貿易學系,學士班(日間),男,157,4,1,0,1,1,0,0,0,0,0,0,0,0,0,...,1
107,私立,一般大學,1004,中原大學,04141018,國際經營與貿易學系,碩士班(日間),男,9,1,0,0,0,0,1,0,0,0,0,0,0,0,0,...,0
107,私立,一般大學,1004,中原大學,04141018,國際經營與貿易學系,碩士在職專班,男,14,1,0,0,0,0,1,0,0,0,0,0,0,0,0,...,0
107,私立,一般大學,1004,中原大學,04141018,國際經營與貿易學系,學士班(日間),女,345,8,0,1,1,1,0,0,0,0,1,0,0,0,1,...,3
107,私立,一般大學,1004,中原大學,04141018,國際經營與貿易學系,碩士班(日間),女,13,1,0,0,0,0,0,0,0,0,0,0,0,0,0,...,1
107,私立,一般大學,1004,中原大學,04141018,國際經營與貿易學系,碩士在職專班,女,13,1,1,0,0,0,0,0,0,0,0,0,0,0,0,...,0
107,私立,一般大學,1004,中原大學,04191012,商學博士學位學程,博士班,男,25,8,0,0,0,0,8,0,0,0,0,0,0,0,0,...,0
107,私立,一般大學,1004,中原大學,04191012,商學博士學位學程,博士班,女,15,5,1,0,0,0,2,0,0,0,0,2,0,0,0,...,0
107,私立,一般大學,1004,中原大學,04191017,國際商學碩士學位學程,碩士班(日間),男,12,0,0,0,0,0,0,0,0,0,0,0,0,0,0,...,0
107,私立,一般大學,1004,中原大學,04191017,國際商學碩士學位學程,碩士班(日間),女,12,0,0,0,0,0,0,0,0,0,0,0,0,0,0,...,0
107,私立,一般大學,1004,中原大學,04191017,國際商學學士學位學程,學士班(日間),男,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,...,0
107,私立,一般大學,1004,中原大學,04191017,國際商學學士學位學程,學士班(日間),女,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,...,0
107,私立,一般大學,1004,中原大學,04199020,商學院學士學位學程,學士班(日間),男,7,1,0,0,0,1,0,0,0,0,0,0,0,0,0,...,0
107,私立,一般大學,1004,中原大學,04199020,商學院學士學位學程,學士班(日間),女,12,1,0,0,0,0,0,0,0,0,1,0,0,0,0,...,0
107,私立,一般大學,1004,中原大學,04199050,巨量資料商業應用碩士學位學程,碩士班(日間),男,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,...,0
107,私立,一般大學,1004,中原大學,04199050,巨量資料商業應用碩士學位學程,碩士班(日間),女,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,...,0
107,私立,一般大學,1004,中原大學,04212021,財經法律學系,學士班(日間),男,224,3,0,2,0,0,0,0,0,1,0,0,0,0,0,...,0
107,私立,一般大學,1004,中原大學,04212021,財經法律學系,碩士班(日間),男,45,31,1,0,1,0,12,0,0,3,0,8,0,2,1,...,3
107,私立,一般大學,1004,中原大學,04212021,財經法律學系,碩士在職專班,男,42,13,0,0,0,0,8,0,2,0,0,3,0,0,0,...,0
107,私立,一般大學,1004,中原大學,04212021,財經法律學系,學士班(日間),女,311,7,0,1,0,1,1,0,0,0,3,0,0,1,0,...,0
107,私立,一般大學,1004,中原大學,04212021,財經法律學系,碩士班(日間),女,51,23,1,1,0,0,3,0,3,0,0,8,0,1,3,...,3
107,私立,一般大學,1004,中原大學,04212021,財經法律學系,碩士在職專班,女,22,3,1,0,0,0,0,0,1,0,0,1,0,0,0,...,0
107,私立,一般大學,1004,中原大學,05121022,生物科技學系,學士班(日間),男,206,6,1,0,2,1,0,0,0,0,2,0,0,0,0,...,0
107,私立,一般大學,1004,中原大學,05121022,生物科技學系,碩士班(日間),男,15,0,0,0,0,0,0,0,0,0,0,0,0,0,0,...,0
107,私立,一般大學,1004,中原大學,05121022,生物科技學系,學士班(日間),女,193,3,1,0,0,1,0,0,0,0,0,0,0,0,1,...,0
107,私立,一般大學,1004,中原大學,05121022,生物科技學系,碩士班(日間),女,10,2,1,0,0,0,1,0,0,0,0,0,0,0,0,...,0
107,私立,一般大學,1004,中原大學,05311023,化學系,學士班(日間),男,234,8,1,0,2,3,0,0,0,1,1,0,0,0,0,...,0
107,私立,一般大學,1004,中原大學,05311023,化學系,碩士班(日間),男,41,1,0,0,0,0,0,0,0,0,0,0,0,0,0,...,1
107,私立,一般大學,1004,中原大學,05311023,化學系,碩士在職專班,男,13,5,0,1,0,0,2,0,2,0,0,0,0,0,0,...,0
107,私立,一般大學,1004,中原大學,05311023,化學系,博士班,男,28,2,0,0,0,0,1,0,0,0,0,0,0,1,0,...,0
107,私立,一般大學,1004,中原大學,05311023,化學系,學士班(日間),女,211,3,0,0,0,1,0,0,0,0,1,0,1,0,0,...,0
107,私立,一般大學,1004,中原大學,05311023,化學系,碩士班(日間),女,18,2,0,0,0,1,0,0,0,0,0,0,0,0,0,...,1
107,私立,一般大學,1004,中原大學,05311023,化學系,碩士在職專班,女,9,2,0,0,0,0,1,1,0,0,0,0,0,0,0,...,0
107,私立,一般大學,1004,中原大學,05311023,化學系,博士班,女,9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,...,0
107,私立,一般大學,1004,中原大學,05331024,物理學系,學士班(日間),男,310,8,1,0,1,2,0,0,0,0,0,0,0,0,1,...,3
107,私立,一般大學,1004,中原大學,05331024,物理學系,碩士班(日間),男,28,1,0,0,0,0,0,0,1,0,0,0,0,0,0,...,0
107,私立,一般大學,1004,中原大學,05331024,物理學系,博士班,男,13,0,0,0,0,0,0,0,0,0,0,0,0,0,0,...,0
107,私立,一般大學,1004,中原大學,05331024,物理學系,學士班(日間),女,65,1,0,0,0,1,0,0,0,0,0,0,0,0,0,...,0
107,私立,一般大學,1004,中原大學,05331024,物理學系,碩士班(日間),女,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,...,0
107,私立,一般大學,1004,中原大學,05331024,物理學系,博士班,女,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,...,0
107,私立,一般大學,1004,中原大學,05399052,理學院學士學位學程,學士班(日間),男,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,...,0
107,私立,一般大學,1004,中原大學,05411027,應用數學系,學士班(日間),男,292,9,1,0,3,2,1,0,0,0,0,0,1,0,0,...,1
107,私立,一般大學,1004,中原大學,05411027,應用數學系,碩士班(日間),男,18,1,0,0,0,0,1,0,0,0,0,0,0,0,0,...,0
107,私立,一般大學,1004,中原大學,05411027,應用數學系,碩士在職專班,男,15,2,0,0,0,0,0,0,0,0,0,1,0,1,0,...,0
107,私立,一般大學,1004,中原大學,05411027,應用數學系,博士班,男,4,1,0,0,0,0,0,0,0,0,0,1,0,0,0,...,0
107,私立,一般大學,1004,中原大學,05411027,應用數學系,學士班(日間),女,111,3,0,0,0,1,1,0,1,0,0,0,0,0,0,...,0
107,私立,一般大學,1004,中原大學,05411027,應用數學系,碩士班(日間),女,7,1,0,0,0,0,0,0,0,0,1,0,0,0,0,...,0
107,私立,一般大學,1004,中原大學,05411027,應用數學系,碩士在職專班,女,13,3,1,0,0,0,0,0,2,0,0,0,0,0,0,...,0
107,私立,一般大學,1004,中原大學,05411027,應用數學系,博士班,女,5,1,0,0,0,0,0,0,1,0,0,0,0,0,0,...,0
107,私立,一般大學,1004,中原大學,06131028,資訊管理學系,學士班(日間),男,250,6,0,0,1,3,1,0,0,0,0,0,0,0,0,...,1
107,私立,一般大學,1004,中原大學,06131028,資訊管理學系,碩士班(日間),男,31,2,0,0,0,0,0,0,1,1,0,0,0,0,0,...,0
107,私立,一般大學,1004,中原大學,06131028,資訊管理學系,碩士在職專班,男,21,3,0,0,0,0,1,0,1,0,0,1,0,0,0,...,0
107,私立,一般大學,1004,中原大學,06131028,資訊管理學系,學士班(日間),女,206,4,2,0,2,0,0,0,0,0,0,0,0,0,0,...,0
107,私立,一般大學,1004,中原大學,06131028,資訊管理學系,碩士班(日間),女,14,1,0,1,0,0,0,0,0,0,0,0,0,0,0,...,0
107,私立,一般大學,1004,中原大學,06131028,資訊管理學系,碩士在職專班,女,7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,...,0
107,私立,一般大學,1004,中原大學,06131028,資訊管理學系現役軍人營區碩士在職專班,碩士在職專班,男,11,0,0,0,0,0,0,0,0,0,0,0,0,0,0,...,0
107,私立,一般大學,1004,中原大學,06131028,資訊管理學系現役軍人營區碩士在職專班,碩士在職專班,女,9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,...,0
107,私立,一般大學,1004,中原大學,07111037,化學工程學系,學士班(日間),男,421,12,1,1,2,3,1,0,0,0,2,0,0,0,1,...,1
107,私立,一般大學,1004,中原大學,07111037,化學工程學系,碩士班(日間),男,66,1,0,0,0,0,1,0,0,0,0,0,0,0,0,...,0
107,私立,一般大學,1004,中原大學,07111037,化學工程學系,碩士在職專班,男,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,...,0
107,私立,一般大學,1004,中原大學,07111037,化學工程學系,博士班,男,10,2,0,0,0,0,2,0,0,0,0,0,0,0,0,...,0
107,私立,一般大學,1004,中原大學,07111037,化學工程學系,學士班(日間),女,261,3,0,0,1,1,1,0,0,0,0,0,0,0,0,...,0
107,私立,一般大學,1004,中原大學,07111037,化學工程學系,碩士班(日間),女,28,0,0,0,0,0,0,0,0,0,0,0,0,0,0,...,0
107,私立,一般大學,1004,中原大學,07111037,化學工程學系,博士班,女,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,...,0
107,私立,一般大學,1004,中原大學,07111049,化學工程與材料科學國際碩士學位學程,碩士班(日間),男,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,...,0
107,私立,一般大學,1004,中原大學,07111049,化學工程與材料科學國際碩士學位學程,碩士班(日間),女,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,...,0
107,私立,一般大學,1004,中原大學,07112038,奈米科技碩士學位學程,碩士班(日間),男,9,1,0,0,0,0,0,0,0,0,0,1,0,0,0,...,0
107,私立,一般大學,1004,中原大學,07112038,奈米科技碩士學位學程,碩士班(日間),女,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,...,0
107,私立,一般大學,1004,中原大學,07121042,環境工程學系,學士班(日間),男,139,7,0,1,1,2,0,0,0,0,3,0,0,0,0,...,0
107,私立,一般大學,1004,中原大學,07121042,環境工程學系,碩士班(日間),男,30,1,0,0,0,0,0,0,0,1,0,0,0,0,0,...,0
107,私立,一般大學,1004,中原大學,07121042,環境工程學系,碩士在職專班,男,33,4,0,0,0,0,4,0,0,0,0,0,0,0,0,...,0
107,私立,一般大學,1004,中原大學,07121042,環境工程學系,學士班(日間),女,77,1,0,0,0,1,0,0,0,0,0,0,0,0,0,...,0
107,私立,一般大學,1004,中原大學,07121042,環境工程學系,碩士班(日間),女,17,0,0,0,0,0,0,0,0,0,0,0,0,0,0,...,0
107,私立,一般大學,1004,中原大學,07121042,環境工程學系,碩士在職專班,女,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,...,0
107,私立,一般大學,1004,中原大學,07121051,永續環境與能源國際碩士學位學程,碩士班(日間),男,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,...,0
107,私立,一般大學,1004,中原大學,07121051,永續環境與能源國際碩士學位學程,碩士班(日間),女,9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,...,0
107,私立,一般大學,1004,中原大學,07141029,電機工程學系,學士班(日間),男,349,11,0,0,1,5,1,0,0,0,3,0,0,0,0,...,1
107,私立,一般大學,1004,中原大學,07141029,電機工程學系,碩士班(日間),男,59,4,1,0,1,0,0,0,1,1,0,0,0,0,0,...,0
107,私立,一般大學,1004,中原大學,07141029,電機工程學系,碩士在職專班,男,35,10,0,1,0,0,4,0,2,0,0,1,0,1,0,...,1
107,私立,一般大學,1004,中原大學,07141029,電機工程學系,博士班,男,13,3,0,0,0,0,3,0,0,0,0,0,0,0,0,...,0
107,私立,一般大學,1004,中原大學,07141029,電機工程學系,學士班(日間),女,51,0,0,0,0,0,0,0,0,0,0,0,0,0,0,...,0
107,私立,一般大學,1004,中原大學,07141029,電機工程學系,碩士班(日間),女,8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,...,0
107,私立,一般大學,1004,中原大學,07141029,電機工程學系,碩士在職專班,女,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,...,0
107,私立,一般大學,1004,中原大學,07141029,電機工程學系,博士班,女,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,...,0
107,私立,一般大學,1004,中原大學,07141029,電機工程學系國際碩士班,碩士班(日間),男,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,...,0
107,私立,一般大學,1004,中原大學,07141029,電機工程學系國際碩士班,碩士班(日間),女,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,...,0
107,私立,一般大學,1004,中原大學,07141030,電子工程學系,學士班(日間),男,487,20,0,0,2,8,1,0,0,1,2,0,1,2,1,...,2
107,私立,一般大學,1004,中原大學,07141030,電子工程學系,碩士班(日間),男,81,6,0,0,2,0,1,0,1,0,1,0,0,0,0,...,1
107,私立,一般大學,1004,中原大學,07141030,電子工程學系,碩士在職專班,男,29,8,0,0,0,0,7,0,1,0,0,0,0,0,0,...,0
107,私立,一般大學,1004,中原大學,07141030,電子工程學系,博士班,男,17,13,0,2,0,0,4,0,0,3,0,4,0,0,0,...,0
107,私立,一般大學,1004,中原大學,07141030,電子工程學系,學士班(日間),女,92,4,1,0,0,2,1,0,0,0,0,0,0,0,0,...,0
107,私立,一般大學,1004,中原大學,07141030,電子工程學系,碩士班(日間),女,13,3,1,0,0,1,0,0,0,0,0,0,0,0,0,...,1
107,私立,一般大學,1004,中原大學,07141030,電子工程學系,碩士在職專班,女,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,...,0
107,私立,一般大學,1004,中原大學,07141030,電子工程學系,博士班,女,3,1,0,0,0,0,0,0,1,0,0,0,0,0,0,...,0
107,私立,一般大學,1004,中原大學,07141031,資訊工程學系,學士班(日間),男,386,6,1,0,1,4,0,0,0,0,0,0,0,0,0,...,0
107,私立,一般大學,1004,中原大學,07141031,資訊工程學系,碩士班(日間),男,53,4,0,1,0,0,1,0,0,0,0,1,0,0,0,...,1
107,私立,一般大學,1004,中原大學,07141031,資訊工程學系,碩士在職專班,男,10,5,1,0,0,0,2,0,0,0,0,1,0,1,0,...,0
107,私立,一般大學,1004,中原大學,07141031,資訊工程學系,學士班(日間),女,87,2,0,0,2,0,0,0,0,0,0,0,0,0,0,...,0
107,私立,一般大學,1004,中原大學,07141031,資訊工程學系,碩士班(日間),女,10,1,0,0,0,0,0,0,1,0,0,0,0,0,0,...,0
107,私立,一般大學,1004,中原大學,07141031,資訊工程學系,碩士在職專班,女,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,...,0
107,私立,一般大學,1004,中原大學,07141031,資訊工程學系資訊科技與雲端運算國際碩士班,碩士班(日間),男,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,...,0
107,私立,一般大學,1004,中原大學,07141031,資訊工程學系資訊科技與雲端運算國際碩士班,碩士班(日間),女,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,...,0
107,私立,一般大學,1004,中原大學,07141032,通訊工程碩士學位學程,碩士班(日間),男,23,2,0,0,0,0,1,0,0,0,0,0,0,0,0,...,1
107,私立,一般大學,1004,中原大學,07141032,通訊工程碩士學位學程,碩士班(日間),女,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,...,0
107,私立,一般大學,1004,中原大學,07141033,電機資訊學院人工智慧應用學士學位學程,學士班(日間),男,7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,...,0
107,私立,一般大學,1004,中原大學,07141033,電機資訊學院人工智慧應用學士學位學程,學士班(日間),女,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,...,0
107,私立,一般大學,1004,中原大學,07141033,電機資訊學院學士班,學士班(日間),男,135,6,0,0,0,1,1,0,0,1,0,0,0,0,1,...,2
107,私立,一般大學,1004,中原大學,07141033,電機資訊學院學士班,學士班(日間),女,20,1,0,0,0,1,0,0,0,0,0,0,0,0,0,...,0
107,私立,一般大學,1004,中原大學,07151034,機械工程學系,學士班(日間),男,618,18,2,1,2,5,2,0,0,1,3,0,0,0,0,...,2
107,私立,一般大學,1004,中原大學,07151034,機械工程學系,碩士班(日間),男,84,1,0,1,0,0,0,0,0,0,0,0,0,0,0,...,0
107,私立,一般大學,1004,中原大學,07151034,機械工程學系,碩士在職專班,男,55,13,0,1,0,0,10,0,1,0,0,0,0,1,0,...,0
107,私立,一般大學,1004,中原大學,07151034,機械工程學系,博士班,男,36,13,1,3,0,0,3,0,0,1,0,5,0,0,0,...,0
107,私立,一般大學,1004,中原大學,07151034,機械工程學系,學士班(日間),女,52,0,0,0,0,0,0,0,0,0,0,0,0,0,0,...,0
