學年度,設立別,學校類別,學校統計處代碼,學校名稱,系所代碼,系所名稱,學制班別,性別,在學學生數,於學年底處於休學狀態之人數-總計,於學年底處於休學狀態之人數-因傷病,於學年底處於休學狀態之人數-因經濟困難,於學年底處於休學狀態之人數-因學業成績不佳,於學年底處於休學狀態之人數-因志趣不合,於學年底處於休學狀態之人數-因工作需求,於學年底處於休學狀態之人數-因懷孕,於學年底處於休學狀態之人數-因育嬰,於學年底處於休學狀態之人數-因兵役,於學年底處於休學狀態之人數-因出國,於學年底處於休學狀態之人數-因論文撰寫,於學年底處於休學狀態之人數-因適應不良,於學年底處於休學狀態之人數-因家人傷病,於學年底處於休學狀態之人數-因考試訓練,於學年底處於休學狀態之人數-因逾期未註冊、繳費、選課,於學年底處於休學狀態之人數-其他
105,公立,一般大學,0001,國立政治大學,02311009,英國語文學系,博士班,女,18,8,0,0,3,0,0,0,1,...,...,...,...,...,...,...,4
105,公立,一般大學,0001,國立政治大學,02311009,英國語文學系英語教學碩士在職專班,碩士在職專班,男,4,1,0,0,0,0,0,0,1,...,...,...,...,...,...,...,0
105,公立,一般大學,0001,國立政治大學,02311009,英國語文學系英語教學碩士在職專班,碩士在職專班,女,26,16,1,0,2,1,3,0,3,...,...,...,...,...,...,...,6
105,公立,一般大學,0001,國立政治大學,02311011,日本語文學系,學士班(日間),男,42,1,0,0,0,0,0,0,0,...,...,...,...,...,...,...,1
105,公立,一般大學,0001,國立政治大學,02311011,日本語文學系,碩士班(日間),男,7,2,0,0,0,1,0,0,0,...,...,...,...,...,...,...,1
105,公立,一般大學,0001,國立政治大學,02311011,日本語文學系,學士班(日間),女,138,3,0,0,0,0,0,0,0,...,...,...,...,...,...,...,3
105,公立,一般大學,0001,國立政治大學,02311011,日本語文學系,碩士班(日間),女,18,5,0,0,0,1,3,0,0,...,...,...,...,...,...,...,1
105,公立,一般大學,0001,國立政治大學,02311012,阿拉伯語文學系,學士班(日間),男,57,1,0,0,0,0,0,0,0,...,...,...,...,...,...,...,1
105,公立,一般大學,0001,國立政治大學,02311012,阿拉伯語文學系,學士班(日間),女,117,7,0,0,0,5,0,0,0,...,...,...,...,...,...,...,2
105,公立,一般大學,0001,國立政治大學,02311014,韓國語文學系,碩士班(日間),男,2,2,0,0,0,1,0,0,0,...,...,...,...,...,...,...,1
105,公立,一般大學,0001,國立政治大學,02311014,韓國語文學系,學士班(日間),女,140,1,0,0,0,0,1,0,0,...,...,...,...,...,...,...,0
105,公立,一般大學,0001,國立政治大學,02311014,韓國語文學系,碩士班(日間),女,17,5,0,0,0,1,2,0,0,...,...,...,...,...,...,...,2
105,公立,一般大學,0001,國立政治大學,02311015,土耳其語文學系,學士班(日間),男,34,1,0,0,0,0,0,0,0,...,...,...,...,...,...,...,1
105,公立,一般大學,0001,國立政治大學,02311015,土耳其語文學系,學士班(日間),女,94,5,1,0,0,1,0,0,0,...,...,...,...,...,...,...,3
105,公立,一般大學,0001,國立政治大學,02311016,歐洲語文學系,學士班(日間),女,252,4,0,0,0,0,0,0,0,...,...,...,...,...,...,...,4
105,公立,一般大學,0001,國立政治大學,02311017,斯拉夫語文學系,學士班(日間),男,80,2,0,0,0,1,0,0,0,...,...,...,...,...,...,...,1
105,公立,一般大學,0001,國立政治大學,02311017,斯拉夫語文學系,碩士班(日間),男,5,2,0,0,0,0,1,0,0,...,...,...,...,...,...,...,1
