學年度,學期,設立別,學校類別,學校統計處代碼,學校名稱,學制班別,性別,在學學生數,學期間退學人數-小計,學期間退學人數-因成績不佳或曠課時數過多,學期間退學人數-因操行成績,學期間退學人數-因志趣不合,學期間退學人數-因休學逾期未復學,學期間退學人數-因懷孕,學期間退學人數-因育嬰,學期間退學人數-因傷病,學期間退學人數-因工作需求,學期間退學人數-因經濟困難,學期間退學人數-因生涯規劃,學期間退學人數-其他(不含死亡)
105,1,公立,一般大學,0012,國立臺灣海洋大學,學士班(日間),男,3931,70,0,0,2,27,0,0,0,0,...,...,37
105,1,公立,一般大學,0012,國立臺灣海洋大學,學士班(進修),男,456,35,1,0,7,12,0,0,0,4,...,...,0
105,1,公立,一般大學,0012,國立臺灣海洋大學,碩士班(日間),男,981,38,1,0,1,25,0,0,0,3,...,...,5
105,1,公立,一般大學,0012,國立臺灣海洋大學,碩士在職專班,男,380,11,0,0,0,10,0,0,0,0,...,...,0
105,1,公立,一般大學,0012,國立臺灣海洋大學,博士班,男,232,18,0,0,0,9,0,0,0,1,...,...,6
105,1,公立,一般大學,0012,國立臺灣海洋大學,學士班(日間),女,1741,27,0,0,0,14,0,0,0,0,...,...,13
105,1,公立,一般大學,0012,國立臺灣海洋大學,學士班(進修),女,219,12,0,0,3,5,0,0,0,0,...,...,0
105,1,公立,一般大學,0012,國立臺灣海洋大學,碩士班(日間),女,442,19,0,0,0,14,0,0,0,0,...,...,2
105,1,公立,一般大學,0012,國立臺灣海洋大學,碩士在職專班,女,235,3,0,0,0,0,0,0,0,1,...,...,0
105,1,公立,一般大學,0012,國立臺灣海洋大學,博士班,女,64,2,0,0,0,1,0,0,0,0,...,...,0
105,1,公立,一般大學,0013,國立中正大學,學士班(日間),男,3632,89,27,0,35,23,0,0,0,0,...,...,1
105,1,公立,一般大學,0013,國立中正大學,碩士班(日間),男,1756,57,7,0,4,35,0,0,0,2,...,...,2
105,1,公立,一般大學,0013,國立中正大學,碩士在職專班,男,759,59,32,0,2,17,0,0,0,1,...,...,3
