學年度,設立別,學校類別,學校統計處代碼,學校名稱,學制班別,性別,在學學生數,於學年底處於休學狀態之人數-總計,於學年底處於休學狀態之人數-因傷病,於學年底處於休學狀態之人數-因經濟困難,於學年底處於休學狀態之人數-因學業成績不佳,於學年底處於休學狀態之人數-因志趣不合,於學年底處於休學狀態之人數-因工作需求,於學年底處於休學狀態之人數-因懷孕,於學年底處於休學狀態之人數-因育嬰,於學年底處於休學狀態之人數-因兵役,於學年底處於休學狀態之人數-因出國,於學年底處於休學狀態之人數-因論文撰寫,於學年底處於休學狀態之人數-因適應不良,於學年底處於休學狀態之人數-因家人傷病,於學年底處於休學狀態之人數-因考試訓練,於學年底處於休學狀態之人數-因逾期未註冊、繳費、選課,於學年底處於休學狀態之人數-其他
105,公立,一般大學,0008,國立中央大學,碩士在職專班,女,469,82,2,1,14,0,39,4,17,...,...,...,...,...,...,...,5
105,公立,一般大學,0008,國立中央大學,博士班,女,275,63,2,0,27,0,15,2,11,...,...,...,...,...,...,...,6
105,公立,一般大學,0009,國立中山大學,學士班(日間),男,2950,105,4,1,4,2,4,0,0,...,...,...,...,...,...,...,90
105,公立,一般大學,0009,國立中山大學,碩士班(日間),男,1838,215,6,3,37,5,41,0,5,...,...,...,...,...,...,...,118
105,公立,一般大學,0009,國立中山大學,碩士在職專班,男,475,104,2,0,13,0,64,0,5,...,...,...,...,...,...,...,20
105,公立,一般大學,0009,國立中山大學,博士班,男,588,136,4,2,47,0,33,0,11,...,...,...,...,...,...,...,39
105,公立,一般大學,0009,國立中山大學,學士班(日間),女,1806,40,2,0,0,0,3,0,0,...,...,...,...,...,...,...,35
105,公立,一般大學,0009,國立中山大學,碩士班(日間),女,1078,149,7,6,26,0,28,2,17,...,...,...,...,...,...,...,63
105,公立,一般大學,0009,國立中山大學,碩士在職專班,女,441,99,2,1,10,0,43,0,14,...,...,...,...,...,...,...,29
105,公立,一般大學,0009,國立中山大學,博士班,女,241,75,6,0,17,0,12,0,18,...,...,...,...,...,...,...,22
105,公立,一般大學,0012,國立臺灣海洋大學,學士班(日間),男,3931,142,7,0,44,9,3,0,0,...,...,...,...,...,...,...,79
105,公立,一般大學,0012,國立臺灣海洋大學,學士班(進修),男,456,59,1,4,2,2,16,0,1,...,...,...,...,...,...,...,33
105,公立,一般大學,0012,國立臺灣海洋大學,碩士班(日間),男,981,112,3,5,9,4,19,0,0,...,...,...,...,...,...,...,72
105,公立,一般大學,0012,國立臺灣海洋大學,碩士在職專班,男,380,74,2,3,0,1,37,0,2,...,...,...,...,...,...,...,29
105,公立,一般大學,0012,國立臺灣海洋大學,博士班,男,232,64,3,3,3,0,21,0,2,...,...,...,...,...,...,...,32
105,公立,一般大學,0012,國立臺灣海洋大學,學士班(日間),女,1741,34,3,1,10,4,2,1,0,...,...,...,...,...,...,...,13
105,公立,一般大學,0012,國立臺灣海洋大學,學士班(進修),女,245,23,0,0,1,1,5,0,1,...,...,...,...,...,...,...,15
105,公立,一般大學,0012,國立臺灣海洋大學,碩士班(日間),女,442,59,3,2,3,1,9,1,1,...,...,...,...,...,...,...,39
105,公立,一般大學,0012,國立臺灣海洋大學,碩士在職專班,女,235,35,0,1,0,1,14,1,3,...,...,...,...,...,...,...,15
105,公立,一般大學,0012,國立臺灣海洋大學,博士班,女,64,16,0,0,0,0,3,4,2,...,...,...,...,...,...,...,7
105,公立,一般大學,0013,國立中正大學,學士班(日間),男,3632,119,5,1,20,19,3,0,0,...,...,...,...,...,...,...,71
105,公立,一般大學,0013,國立中正大學,碩士班(日間),男,1756,216,9,14,7,16,30,0,6,...,...,...,...,...,...,...,134
105,公立,一般大學,0013,國立中正大學,碩士在職專班,男,759,152,5,5,1,0,58,0,14,...,...,...,...,...,...,...,69
105,公立,一般大學,0013,國立中正大學,博士班,男,395,103,2,0,1,2,29,0,10,...,...,...,...,...,...,...,59
105,公立,一般大學,0013,國立中正大學,學士班(日間),女,3040,53,5,2,3,12,0,0,2,...,...,...,...,...,...,...,29
105,公立,一般大學,0013,國立中正大學,碩士班(日間),女,1040,169,6,13,1,8,55,2,4,...,...,...,...,...,...,...,80
105,公立,一般大學,0013,國立中正大學,碩士在職專班,女,738,149,7,1,1,1,47,5,33,...,...,...,...,...,...,...,54
105,公立,一般大學,0013,國立中正大學,博士班,女,175,53,3,5,0,0,15,2,8,...,...,...,...,...,...,...,20
105,公立,一般大學,0014,國立高雄師範大學,學士班(日間),男,1693,34,2,0,2,15,4,0,0,...,...,...,...,...,...,...,11
105,公立,一般大學,0014,國立高雄師範大學,碩士班(日間),男,511,162,2,0,1,10,70,0,7,...,...,...,...,...,...,...,72
105,公立,一般大學,0014,國立高雄師範大學,碩士在職專班,男,429,69,5,1,0,0,17,0,8,...,...,...,...,...,...,...,38
105,公立,一般大學,0014,國立高雄師範大學,博士班,男,232,44,0,0,0,0,26,0,8,...,...,...,...,...,...,...,10
105,公立,一般大學,0014,國立高雄師範大學,學士班(日間),女,1832,29,0,1,3,15,0,0,0,...,...,...,...,...,...,...,10
105,公立,一般大學,0014,國立高雄師範大學,碩士班(日間),女,852,241,6,5,3,6,117,6,23,...,...,...,...,...,...,...,75
105,公立,一般大學,0014,國立高雄師範大學,碩士在職專班,女,824,197,12,0,1,0,40,12,36,...,...,...,...,...,...,...,96
105,公立,一般大學,0014,國立高雄師範大學,博士班,女,235,66,1,0,1,0,23,4,23,...,...,...,...,...,...,...,14
105,公立,一般大學,0015,國立彰化師範大學,學士班(日間),男,2518,85,6,1,5,17,9,0,0,...,...,...,...,...,...,...,47
105,公立,一般大學,0015,國立彰化師範大學,碩士班(日間),男,776,162,5,5,0,11,43,0,2,...,...,...,...,...,...,...,96
105,公立,一般大學,0015,國立彰化師範大學,碩士在職專班,男,569,88,0,2,0,0,61,0,8,...,...,...,...,...,...,...,17
105,公立,一般大學,0015,國立彰化師範大學,博士班,男,284,51,2,2,0,0,20,0,5,...,...,...,...,...,...,...,22
105,公立,一般大學,0015,國立彰化師範大學,學士班(日間),女,2346,45,6,2,1,10,1,2,0,...,...,...,...,...,...,...,23
105,公立,一般大學,0015,國立彰化師範大學,碩士班(日間),女,772,201,7,7,0,4,65,3,14,...,...,...,...,...,...,...,101
105,公立,一般大學,0015,國立彰化師範大學,碩士在職專班,女,729,98,4,0,0,0,47,10,27,...,...,...,...,...,...,...,10
105,公立,一般大學,0015,國立彰化師範大學,博士班,女,198,50,6,0,0,0,10,1,9,...,...,...,...,...,...,...,24
105,公立,一般大學,0016,國立陽明大學,學士班(日間),男,1165,53,1,0,0,12,0,0,0,...,...,...,...,...,...,...,40
105,公立,一般大學,0016,國立陽明大學,碩士班(日間),男,487,68,0,0,0,2,5,0,1,...,...,...,...,...,...,...,60
105,公立,一般大學,0016,國立陽明大學,碩士在職專班,男,43,7,0,0,0,1,2,0,0,...,...,...,...,...,...,...,4
105,公立,一般大學,0016,國立陽明大學,博士班,男,559,141,2,0,0,0,14,0,11,...,...,...,...,...,...,...,114
105,公立,一般大學,0016,國立陽明大學,學士班(日間),女,956,48,1,0,0,3,0,0,0,...,...,...,...,...,...,...,44
105,公立,一般大學,0016,國立陽明大學,碩士班(日間),女,661,119,10,0,0,3,7,1,5,...,...,...,...,...,...,...,93
105,公立,一般大學,0016,國立陽明大學,碩士在職專班,女,93,19,0,0,0,0,6,0,2,...,...,...,...,...,...,...,11
105,公立,一般大學,0016,國立陽明大學,博士班,女,371,93,2,0,0,1,9,2,8,...,...,...,...,...,...,...,71
105,公立,一般大學,0017,國立臺北大學,學士班(日間),男,2665,64,0,1,3,18,6,0,0,...,...,...,...,...,...,...,36
105,公立,一般大學,0017,國立臺北大學,學士班(進修),男,744,77,4,1,1,4,39,0,1,...,...,...,...,...,...,...,27
105,公立,一般大學,0017,國立臺北大學,碩士班(日間),男,669,107,1,4,2,0,32,0,0,...,...,...,...,...,...,...,68
105,公立,一般大學,0017,國立臺北大學,碩士在職專班,男,210,36,1,1,1,0,19,0,1,...,...,...,...,...,...,...,13
105,公立,一般大學,0017,國立臺北大學,博士班,男,128,36,2,0,0,0,12,0,0,...,...,...,...,...,...,...,22
105,公立,一般大學,0017,國立臺北大學,學士班(日間),女,3213,65,2,0,5,13,5,0,0,...,...,...,...,...,...,...,40
105,公立,一般大學,0017,國立臺北大學,學士班(進修),女,1158,96,7,5,5,7,30,2,0,...,...,...,...,...,...,...,40
105,公立,一般大學,0017,國立臺北大學,碩士班(日間),女,655,110,1,1,0,1,45,3,1,...,...,...,...,...,...,...,58
105,公立,一般大學,0017,國立臺北大學,碩士在職專班,女,260,34,1,0,0,0,17,1,5,...,...,...,...,...,...,...,10
105,公立,一般大學,0017,國立臺北大學,博士班,女,64,21,0,0,0,0,7,0,1,...,...,...,...,...,...,...,13
105,公立,一般大學,0018,國立嘉義大學,學士班(日間),男,4032,163,12,4,22,56,5,0,0,...,...,...,...,...,...,...,64
105,公立,一般大學,0018,國立嘉義大學,學士班(進修),男,1220,154,8,10,17,3,59,0,0,...,...,...,...,...,...,...,57
105,公立,一般大學,0018,國立嘉義大學,碩士班(日間),男,719,164,9,15,7,0,53,0,0,...,...,...,...,...,...,...,80
105,公立,一般大學,0018,國立嘉義大學,碩士在職專班,男,406,87,4,2,3,0,54,0,1,...,...,...,...,...,...,...,23
105,公立,一般大學,0018,國立嘉義大學,博士班,男,100,33,3,1,0,0,19,0,1,...,...,...,...,...,...,...,9
105,公立,一般大學,0018,國立嘉義大學,學士班(日間),女,3808,85,10,2,10,38,5,0,0,...,...,...,...,...,...,...,20
