學年度,設立別,學校類別,學校統計處代碼,學校名稱,系所代碼,系所名稱,學制班別(日間),外國學生小計,外國學生數男,外國學生女,外國學生數之在學比率(%)
106,公立,一般大學,0002,國立清華大學,05121026,生物科技研究所,博士班,3,1,2,5.77
106,公立,一般大學,0002,國立清華大學,05121028,分子與細胞生物研究所,博士班,7,4,3,24.14
106,公立,一般大學,0002,國立清華大學,05124072,分子醫學研究所,博士班,2,1,1,5.71
106,公立,一般大學,0002,國立清華大學,02131098,藝術與設計學系,學士班(日間),1,1,0,0.29
106,公立,一般大學,0002,國立清華大學,02311002,外國語文學系,學士班(日間),3,1,2,1.39
106,公立,一般大學,0002,國立清華大學,03131077,教育心理與諮商學系,學士班(日間),4,2,2,2.26
106,公立,一般大學,0002,國立清華大學,07141055,電機資訊學院學士班,學士班(日間),1,1,0,0.88
106,公立,一般大學,0002,國立清華大學,07199071,工學院學士班,學士班(日間),1,0,1,0.79
106,公立,一般大學,0002,國立清華大學,02221006,歷史研究所,博士班,1,0,1,4.17
106,公立,一般大學,0002,國立清華大學,02222007,人類學研究所,博士班,2,1,1,16.67
106,公立,一般大學,0002,國立清華大學,03141012,社會學研究所,博士班,1,1,0,7.14
106,公立,一般大學,0002,國立清華大學,04199022,服務科學研究所,博士班,9,6,3,69.23
106,公立,一般大學,0002,國立清華大學,05121030,生物資訊與結構生物研究所,博士班,12,9,3,18.75
106,公立,一般大學,0002,國立清華大學,05332039,天文研究所,博士班,1,1,0,7.69
106,公立,一般大學,0002,國立清華大學,06134048,社群網路與人智計算國際研究生博士學位學程,博士班,12,11,1,100.00
106,公立,一般大學,0002,國立清華大學,07111057,化學工程學系,博士班,14,11,3,13.33
106,公立,一般大學,0002,國立清華大學,07112058,材料科學工程學系,博士班,18,14,4,11.76
106,公立,一般大學,0002,國立清華大學,07131068,核子工程與科學研究所,博士班,1,1,0,3.45
106,公立,一般大學,0002,國立清華大學,07141049,電機工程學系,博士班,7,7,0,8.75
106,公立,一般大學,0002,國立清華大學,07141050,電子工程研究所,博士班,4,3,1,7.84
106,公立,一般大學,0002,國立清華大學,07141054,通訊工程研究所,博士班,5,4,1,25.00
106,公立,一般大學,0002,國立清華大學,07151056,動力機械工程學系,博士班,7,7,0,7.69
106,公立,一般大學,0002,國立清華大學,07193063,生醫工程與環境科學系,博士班,7,5,2,12.96
106,公立,一般大學,0002,國立清華大學,01131085,數理教育研究所,碩士班(日間),2,1,1,3.17
106,公立,一般大學,0002,國立清華大學,05311037,化學系,博士班,73,62,11,51.41
106,公立,一般大學,0002,國立清華大學,05331038,物理學系,博士班,7,5,2,11.48
106,公立,一般大學,0002,國立清華大學,06131053,資訊工程學系,博士班,4,4,0,5.56
106,公立,一般大學,0002,國立清華大學,06134046,資訊系統與應用研究所,博士班,5,4,1,27.78
106,公立,一般大學,0002,國立清華大學,07132066,工程與系統科學系,博士班,42,32,10,42.86
106,公立,一般大學,0002,國立清華大學,07141052,光電工程研究所,博士班,3,3,0,10.71
106,公立,一般大學,0002,國立清華大學,07191061,工業工程與工程管理學系,博士班,6,3,3,12.00
106,公立,一般大學,0002,國立清華大學,07194059,奈米工程與微系統研究所,博士班,17,10,7,37.78
106,公立,一般大學,0002,國立清華大學,99999074,跨院國際博士班學位學程,博士班,8,7,1,25.81
106,公立,一般大學,0002,國立清華大學,01121091,幼兒教育學系,碩士班(日間),1,0,1,2.86
106,公立,一般大學,0002,國立清華大學,02151096,音樂學系,碩士班(日間),1,0,1,1.43
106,公立,一般大學,0002,國立清華大學,02222007,人類學研究所,碩士班(日間),1,0,1,2.56
106,公立,一般大學,0002,國立清華大學,02299009,亞際文化研究國際碩士學位學程(台灣聯合大學系統),碩士班(日間),1,1,0,16.67
106,公立,一般大學,0002,國立清華大學,02311002,外國語文學系,碩士班(日間),4,1,3,6.90
106,公立,一般大學,0002,國立清華大學,03131077,教育心理與諮商學系,碩士班(日間),1,1,0,1.00
106,公立,一般大學,0002,國立清華大學,04131018,國際專業管理碩士班,碩士班(日間),45,27,18,77.59
106,公立,一般大學,0002,國立清華大學,04199022,服務科學研究所,碩士班(日間),1,1,0,1.75
106,公立,一般大學,0002,國立清華大學,05121026,生物科技研究所,碩士班(日間),3,1,2,5.08
