學年度,設立別,學校類別,學校統計處代碼,學校名稱,系所代碼,系所名稱,學制班別,在學學生數小計,在學學生數男,在學學生數女
106,公立,一般大學,0001,國立政治大學,06134057,數位內容碩士學位學程,碩士班(日間),53,24,29
106,公立,一般大學,0001,國立政治大學,09121083,神經科學研究所,碩士班(日間),10,3,7
106,公立,一般大學,0001,國立政治大學,09231084,社會工作研究所,博士班,7,3,4
106,公立,一般大學,0001,國立政治大學,09231084,社會工作研究所,碩士班(日間),59,14,45
106,公立,一般大學,0002,國立清華大學,01111084,教育與學習科技學系,學士班(日間),346,92,254
106,公立,一般大學,0002,國立清華大學,01111084,教育與學習科技學系,博士班,66,24,42
106,公立,一般大學,0002,國立清華大學,01111084,教育與學習科技學系,碩士班(日間),113,23,90
106,公立,一般大學,0002,國立清華大學,01111084,教育與學習科技學系,碩士在職專班,164,29,135
106,公立,一般大學,0002,國立清華大學,01111110,學前特殊教育碩士在職學位學程,碩士在職專班,17,0,17
106,公立,一般大學,0002,國立清華大學,01112083,人力資源與數位學習科技研究所,碩士班(日間),52,23,29
106,公立,一般大學,0002,國立清華大學,01113095,特殊教育學系,學士班(日間),185,36,149
106,公立,一般大學,0002,國立清華大學,01113095,特殊教育學系,碩士班(日間),58,7,51
106,公立,一般大學,0002,國立清華大學,01121091,幼兒教育學系,學士班(日間),341,43,298
106,公立,一般大學,0002,國立清華大學,01121091,幼兒教育學系,碩士班(日間),35,3,32
106,公立,一般大學,0002,國立清華大學,01121091,幼兒教育學系,碩士在職專班,54,4,50
106,公立,一般大學,0002,國立清華大學,01131085,數理教育研究所,碩士班(日間),63,29,34
106,公立,一般大學,0002,國立清華大學,01131085,數理教育研究所,碩士在職專班,84,22,62
106,公立,一般大學,0002,國立清華大學,01131105,英語教學系,學士班(日間),156,29,127
106,公立,一般大學,0002,國立清華大學,01131105,英語教學系,碩士班(日間),20,0,20
106,公立,一般大學,0002,國立清華大學,01141090,體育學系,學士班(日間),198,127,71
106,公立,一般大學,0002,國立清華大學,01141090,體育學系,碩士班(日間),29,19,10
106,公立,一般大學,0002,國立清華大學,01141090,體育學系體育碩士在職專班,碩士在職專班,39,26,13
106,公立,一般大學,0002,國立清華大學,01141098,藝術與設計學系,碩士在職專班,34,3,31
106,公立,一般大學,0002,國立清華大學,02131098,藝術與設計學系,學士班(日間),342,74,268
106,公立,一般大學,0002,國立清華大學,02131098,藝術與設計學系藝術教育與創作碩士班,碩士班(日間),77,29,48
106,公立,一般大學,0002,國立清華大學,02151096,音樂學系,學士班(日間),142,32,110
106,公立,一般大學,0002,國立清華大學,02151096,音樂學系,碩士班(日間),70,12,58
106,公立,一般大學,0002,國立清華大學,02151096,音樂學系,碩士在職專班,32,3,29
106,公立,一般大學,0002,國立清華大學,02221006,歷史研究所,博士班,24,15,9
106,公立,一般大學,0002,國立清華大學,02221006,歷史研究所,碩士班(日間),49,25,24
106,公立,一般大學,0002,國立清華大學,02222007,人類學研究所,博士班,12,6,6
106,公立,一般大學,0002,國立清華大學,02222007,人類學研究所,碩士班(日間),39,11,28
106,公立,一般大學,0002,國立清華大學,02231008,哲學研究所,碩士班(日間),17,14,3
106,公立,一般大學,0002,國立清華大學,02299009,亞際文化研究國際碩士學位學程(台灣聯合大學系統),碩士班(日間),6,2,4
