學年度,設立別,學校類別,學校統計處代碼,學校名稱,系所代碼,系所名稱,學制班別(日間),大陸地區來臺學位生小計,大陸地區來臺學位生男,大陸地區來臺學位生女,大陸地區來臺學位生數之在學比率(%)
106,公立,一般大學,0003,國立臺灣大學,04131026,商學研究所,博士班,2,1,1,5.56
106,公立,一般大學,0003,國立臺灣大學,04131031,國際企業學系,博士班,6,3,3,10.91
106,公立,一般大學,0003,國立臺灣大學,05311051,化學系,博士班,3,2,1,2.22
106,公立,一般大學,0003,國立臺灣大學,07112078,材料科學與工程學系,博士班,3,3,0,3.45
106,公立,一般大學,0003,國立臺灣大學,07141064,電機工程學系,博士班,3,2,1,3.70
106,公立,一般大學,0003,國立臺灣大學,07141065,電子工程學研究所,博士班,3,2,1,2.26
106,公立,一般大學,0003,國立臺灣大學,07141066,光電工程學研究所,博士班,2,1,1,3.03
106,公立,一般大學,0003,國立臺灣大學,07191079,工業工程學研究所,博士班,3,3,0,10.71
106,公立,一般大學,0003,國立臺灣大學,07194071,應用力學研究所,博士班,1,1,0,2.94
106,公立,一般大學,0003,國立臺灣大學,07194083,醫學工程學研究所,博士班,1,1,0,0.91
106,公立,一般大學,0003,國立臺灣大學,07321074,土木工程學系,博士班,1,1,0,0.76
106,公立,一般大學,0003,國立臺灣大學,08121091,園藝暨景觀學系,博士班,1,0,1,3.03
106,公立,一般大學,0003,國立臺灣大學,08193098,生物產業傳播暨發展學系,博士班,1,0,1,5.88
106,公立,一般大學,0003,國立臺灣大學,08311103,漁業科學研究所,博士班,1,1,0,8.33
106,公立,一般大學,0003,國立臺灣大學,08411104,獸醫學系,博士班,1,0,1,3.23
106,公立,一般大學,0003,國立臺灣大學,09161129,藥學系,博士班,1,1,0,3.70
106,公立,一般大學,0003,國立臺灣大學,02222013,人類學系,博士班,3,2,1,21.43
106,公立,一般大學,0003,國立臺灣大學,03131019,心理學系,博士班,1,1,0,2.44
106,公立,一般大學,0003,國立臺灣大學,04211035,法律學系,博士班,3,0,3,5.77
106,公立,一般大學,0003,國立臺灣大學,05121046,分子與細胞生物學研究所,博士班,1,1,0,7.69
106,公立,一般大學,0003,國立臺灣大學,05331054,物理學系,博士班,3,3,0,2.94
106,公立,一般大學,0003,國立臺灣大學,05411059,數學系,博士班,1,1,0,5.26
106,公立,一般大學,0003,國立臺灣大學,06131067,資訊工程學系,博士班,1,1,0,0.90
106,公立,一般大學,0003,國立臺灣大學,07111076,化學工程學系,博士班,1,1,0,1.61
106,公立,一般大學,0003,國立臺灣大學,07141068,電信工程學研究所,博士班,1,1,0,1.25
106,公立,一般大學,0003,國立臺灣大學,07313086,建築與城鄉研究所,博士班,4,2,2,11.11
106,公立,一般大學,0003,國立臺灣大學,08191100,農業化學系,博士班,1,1,0,5.88
106,公立,一般大學,0003,國立臺灣大學,01131001,華語教學碩士學位學程,碩士班(日間),1,0,1,1.75
106,公立,一般大學,0003,國立臺灣大學,02152003,戲劇學系,碩士班(日間),9,1,8,23.68
106,公立,一般大學,0003,國立臺灣大學,02231014,哲學系,碩士班(日間),7,5,2,15.91
106,公立,一般大學,0003,國立臺灣大學,02311009,日本語文學系,碩士班(日間),1,0,1,2.44
106,公立,一般大學,0003,國立臺灣大學,09161130,藥理學研究所,博士班,1,0,1,4.76
106,公立,一般大學,0003,國立臺灣大學,09231144,社會工作學系,博士班,1,1,0,5.56
106,公立,一般大學,0003,國立臺灣大學,02151002,音樂學研究所,碩士班(日間),4,1,3,11.43
106,公立,一般大學,0003,國立臺灣大學,02191004,藝術史研究所,碩士班(日間),3,1,2,8.82
106,公立,一般大學,0003,國立臺灣大學,02221012,歷史學系,碩士班(日間),4,3,1,4.94
106,公立,一般大學,0003,國立臺灣大學,02222013,人類學系,碩士班(日間),4,1,3,9.52
106,公立,一般大學,0003,國立臺灣大學,02311007,外國語文學系,碩士班(日間),2,0,2,3.57
106,公立,一般大學,0003,國立臺灣大學,02312010,翻譯碩士學位學程,碩士班(日間),3,0,3,6.98
106,公立,一般大學,0003,國立臺灣大學,02321005,臺灣文學研究所,碩士班(日間),1,0,1,2.63
106,公立,一般大學,0003,國立臺灣大學,02322006,中國文學系,碩士班(日間),9,0,9,10.84
106,公立,一般大學,0003,國立臺灣大學,02399011,語言學研究所,碩士班(日間),1,1,0,2.78
106,公立,一般大學,0003,國立臺灣大學,03111015,經濟學系,碩士班(日間),3,0,3,2.42
106,公立,一般大學,0003,國立臺灣大學,03142021,地理環境資源學系,碩士班(日間),7,4,3,10.94
106,公立,一般大學,0003,國立臺灣大學,04111027,會計學系,碩士班(日間),7,3,4,6.25
106,公立,一般大學,0003,國立臺灣大學,04121032,財務金融學系,碩士班(日間),13,9,4,8.18
106,公立,一般大學,0003,國立臺灣大學,04131026,商學研究所,碩士班(日間),3,3,0,2.19
106,公立,一般大學,0003,國立臺灣大學,04131031,國際企業學系,碩士班(日間),12,5,7,7.95
