學年度,設立別,學校類別,學校統計處代碼,學校名稱,日間/進修,學制班別,當學年度各學制總量內核定新生招生名額(A),當學年度各學制新生保留入學資格人數(B),當學年度各學制總量內新生招生核定名額之實際註冊人數(C),當學年度各學制境外(新生)學生實際註冊人數(D),當學年度各學制新生註冊率(%)E=〔(C+D)/(A-B+D)〕*100％,當學年度各學制招生特色說明
113,私立,技專校院,1071,城市學校財團法人臺北城市科技大學,進修,二專,256,0,155,0,60.55,"進修部以招收在職或欲就職人員之正規教育,利用夜間.假日或兩日上課,提供許多在職者有再回流教育的機會."
113,私立,技專校院,1071,城市學校財團法人臺北城市科技大學,進修,學士班(含四技),312,0,167,0,53.53,"進修部以招收在職或欲就職人員之正規教育,利用夜間.假日或兩日上課,提供許多在職者有再回流教育的機會."
113,私立,技專校院,1071,城市學校財團法人臺北城市科技大學,進修,二年制大學(二技),270,0,220,0,81.48,"進修部以招收在職或欲就職人員之正規教育,利用夜間.假日或兩日上課,提供許多在職者有再回流教育的機會."
113,私立,技專校院,1072,大華學校財團法人敏實科技大學,日間,五專,30,0,16,0,53.33,"本校辦理五專學制歷史悠久,專精教學,技術與學理基礎兼顧,提供青年學子進一步發展的多重選擇。目前招生系科：餐飲管理科。五專課程前三年為基礎教育,後兩年為專業課程與實作應用課程,就學期間輔導學生考取多項專業證照。五專學生畢業後可繼續升學二技或插班四技以取得大學文憑。亦可取得五專畢業證書後,且就業三年以上,享有報考研究所之資格。"
113,私立,技專校院,1072,大華學校財團法人敏實科技大學,日間,學士班(含四技),170,0,83,285,80.88,"四技為本校主要學制,招生科系為：智慧車輛與能源系、智慧製造工程系、餐飲管理系、人工智慧應用工程學士學位學程等。本校以「敏於思、實於行」之核心價值,培育「正直誠信、相互信任、團隊合作、引領變革」之術德兼備人才。課程以「專業技能、人文素養、服務社會、終身學習」為教育目標,且以就業為導向,尚規劃許多證照課程、專題實作、及校外實習。提升同學的就業競爭力。四技應屆畢業,全年實習.與企業發展對接,畢業後能夠全球就業,充分發展自我職涯。"
113,私立,技專校院,1072,大華學校財團法人敏實科技大學,進修,學士班(含四技),110,0,89,0,80.91,"進修部四技是提供在職人員進修管道,學制彈性,結合理論與實務,充電後增加人生職涯的廣大發展機會。招生科系：智慧車輛與能源系、智慧製造工程系、餐飲管理系。本校以「敏於思、實於行」之核心價值,培育「正直誠信、相互信任、團隊合作、引領變革」之術德兼備人才。"
113,私立,技專校院,1073,醒吾學校財團法人醒吾科技大學,日間,學士班(含四技),1225,1,737,359,69.24,"本校辦學成效：（1）110~112年度獲教育部高教深耕計畫補助共 2.11 億元,112年度補助達 7,381 萬元,較 111 年成長 4%。（2）109-112年陸續獲得21件教學實踐研究計畫、11件產業學院計畫等。二、學生108-113度總計榮獲1,402項國內外競賽獎項,包含271金218銀175銅及738項獲獎。三、2024年澳洲終極蛋糕裝飾比賽6金4銀。四、學校表現獲得各方肯定：（1）107年獲教育部「生命教育特色學校」表揚。（2）108年獲得教育部「品德教育特色學校」表揚。（3）109年獲「2020 TCSA臺灣企業永續獎」大學USR永續方案-銅牌2案。五、本校四技日間部設有企業管理、國際商務、行銷與流通管理、觀光休閒、餐旅管理、旅運管理、應用英語、資訊科技應用、新媒體傳播、表演藝術、流行音樂創作、商業設計、時尚造形設計、數位設計及時尚產業經營管理等15系。"
113,私立,技專校院,1073,醒吾學校財團法人醒吾科技大學,日間,碩士班,36,0,19,6,59.52,"本校辦學成效：(1)110~112年度獲教育部高教深耕計畫補助共 2.11 億元,112年度補助達 7,381 萬元,較 111 年成長 4%。(2)109-112年陸續獲得21件教學實踐研究計畫、11件產業學院計畫等。二、學生108-113度總計榮獲1,402項國內外競賽獎項,包含271金218銀175銅及738項獲獎。三、2024年澳洲終極蛋糕裝飾比賽6金4銀。四、學校表現獲得各方肯定：（1）107年獲教育部「生命教育特色學校」表揚。（2）108年獲得教育部「品德教育特色學校」表揚。（3）109年獲「2020 TCSA臺灣企業永續獎」大學USR永續方案-銅牌2案。五、本校碩士班設有「資訊科技應用系碩士班」、「行銷與流通管理系碩士班」及「觀光休閒系碩士班」。"
113,私立,技專校院,1073,醒吾學校財團法人醒吾科技大學,進修,二專,58,0,19,0,32.76,"本校辦學成效：（1）110~112年度獲教育部高教深耕計畫補助共 2.11 億元,112年度補助達 7,381 萬元,較 111 年成長 4%。（2）109-112年陸續獲得21件教學實踐研究計畫、11件產業學院計畫等。二、學生108-113度總計榮獲1,402項國內外競賽獎項,包含271金218銀175銅及738項獲獎。三、2024年澳洲終極蛋糕裝飾比賽6金4銀。四、學校表現獲得各方肯定：（1）107年獲教育部「生命教育特色學校」表揚。（2）108年獲得教育部「品德教育特色學校」表揚。（3）109年獲「2020 TCSA臺灣企業永續獎」大學USR永續方案-銅牌2案。五、本校二專進修部設有企業管理、餐旅管理等2科。"
113,私立,技專校院,1073,醒吾學校財團法人醒吾科技大學,進修,學士班(含四技),329,0,168,0,51.06,"本校辦學成效：（1）110~112年度獲教育部高教深耕計畫補助共 2.11 億元,112年度補助達 7,381 萬元,較 111 年成長 4%。（2）109-112年陸續獲得21件教學實踐研究計畫、11件產業學院計畫等。二、學生108-113度總計榮獲1,402項國內外競賽獎項,包含271金218銀175銅及738項獲獎。三、2024年澳洲終極蛋糕裝飾比賽6金4銀。四、學校表現獲得各方肯定：（1）107年獲教育部「生命教育特色學校」表揚。（2）108年獲得教育部「品德教育特色學校」表揚。（3）109年獲「2020 TCSA臺灣企業永續獎」大學USR永續方案-銅牌2案。五、本校四技進修部設有企業管理、觀光休閒、餐旅管理、旅運管理、表演藝術、時尚造形設計等6系。"
113,私立,技專校院,1073,醒吾學校財團法人醒吾科技大學,進修,二年制大學(二技),225,0,154,0,68.44,"本校辦學成效：（1）110~112年度獲教育部高教深耕計畫補助共 2.11 億元,112年度補助達 7,381 萬元,較 111 年成長 4%。（2）109-112年陸續獲得21件教學實踐研究計畫、11件產業學院計畫等。二、學生108-113度總計榮獲1,402項國內外競賽獎項,包含271金218銀175銅及738項獲獎。三、2024年澳洲終極蛋糕裝飾比賽6金4銀。四、學校表現獲得各方肯定：（1）107年獲教育部「生命教育特色學校」表揚。（2）108年獲得教育部「品德教育特色學校」表揚。（3）109年獲「2020 TCSA臺灣企業永續獎」大學USR永續方案-銅牌2案。五、本校二技進修部設有企業管理、觀光休閒、餐旅管理、時尚造形設計等4系。"
113,私立,技專校院,1073,醒吾學校財團法人醒吾科技大學,在職,碩士班,64,0,30,0,46.88,"本校辦學成效：(1)110~112年度獲教育部高教深耕計畫補助共 2.11 億元,112年度補助達 7,381 萬元,較 111 年成長 4%。(2)109-112年陸續獲得21件教學實踐研究計畫、11件產業學院計畫等。二、學生108-113度總計榮獲1,402項國內外競賽獎項,包含271金218銀175銅及738項獲獎。三、2024年澳洲終極蛋糕裝飾比賽6金4銀。四、學校表現獲得各方肯定：（1）107年獲教育部「生命教育特色學校」表揚。（2）108年獲得教育部「品德教育特色學校」表揚。（3）109年獲「2020 TCSA臺灣企業永續獎」大學USR永續方案-銅牌2案。五、本校碩士班設有「資訊科技應用系碩士班」及「行銷與流通管理系碩士班」。"
113,私立,技專校院,1075,文藻學校財團法人文藻外語大學,日間,五專,495,0,494,1,99.80,"本校由天主教聖吳甦樂會創辦,以培育具有專業知能、人文素養及健全人格之外語實用人才為宗旨。五專部設有英國語文科、法國語文科、德國語文科、西班牙語文科及日本語文科。外語課程均以目標外語授課,五專低年級開設通識教育全英課程,高年級課程可選修專業模組課程,精進跨領域專業知識及高階專業語言應用能力。本校提供學生豐富多元之海內外實習與交換機會,專科部四、五年級可申請交換生及國內外實習,並得申請校內及教育部經費補助。"
113,私立,技專校院,1075,文藻學校財團法人文藻外語大學,日間,學士班(含四技),769,0,625,58,82.59,"本校日四技設有英國語文、法國語文、德國語文、西班牙語文、日本語文、應用華語文、外語教學、翻譯、國際事務、國際企業管理、數位內容應用與管理、傳播藝術及東南亞學系十三系。本校執行教育部「南區技職校院高教English as a Medium of Instruction」,提供全英語教學訓練資源及課程,協助政府推動2030雙語國家政策；另外,亦設有師資培育中心提供學生修讀國小師資教育學程之機會。教師專業而認真的教學、學校多媒體教學設備、e化的專業語言教室及各系的資源教室等,提供學生優良的學習環境及師生良好的教學互動,本校創校至今近60年,培育出具有Life（熱愛生命）、Language（樂於溝通）、Leadership（服務領導）特質的畢業生,在各行各業的表現均受到企業主及各界的認同及社會的肯定。"
113,私立,技專校院,1075,文藻學校財團法人文藻外語大學,日間,二年制大學(二技),54,0,54,0,100.00,"本校日二技設有英國語文及日本語文二系,主要招收國內外公私立專科以上學校畢業生。課程重視學習的深度及廣度,第一年加深語言及專業知能,第二年提供校內外產業實習、海外實習及交換等機會,且本校與產業合作密切,與知名國際企業及科技公司共同合作,以「專業課程—實習—就業」一條龍之培育機制,培育跨國企業高階語言專業人才,為學生創造優質就業機會。另外,英國語文系與美國、英國及法國多校簽訂雙聯學位協議,學生修滿規定課程後可同時獲得學士與國外碩士文憑。"
