學年度,設立別,學校類別,學校統計處代碼,學校名稱,系所代碼,系所名稱,學制班別(日間),國家(地區)別(108.12新增),國家(地區)區域別(108.12新增),畢業境外生總人數小計,畢業境外生總人數男,畢業境外生總人數女,畢業外國學生小計,畢業外國學生男,畢業外國學生女,畢業僑生小計,畢業僑生男,畢業僑生女,畢業港澳生小計,畢業港澳生男,畢業港澳生女,畢業大陸地區來臺學位生小計,畢業大陸地區來臺學位生男,畢業大陸地區來臺學位生女
106,公立,一般大學,0001,國立政治大學,04131064,國際經營管理英語碩士學位學程,碩士班(日間),...,...,34,19,15,34,19,15,0,0,0,0,0,0,0,0,0
106,公立,一般大學,0001,國立政治大學,04134041,公共行政學系,學士班(日間),...,...,3,0,3,0,0,0,3,0,3,0,0,0,0,0,0
106,公立,一般大學,0001,國立政治大學,04134041,公共行政學系,碩士班(日間),...,...,2,1,1,0,0,0,0,0,0,0,0,0,2,1,1
106,公立,一般大學,0001,國立政治大學,04141067,國際經營與貿易學系,學士班(日間),...,...,5,2,3,1,1,0,3,1,2,0,0,0,1,0,1
106,公立,一般大學,0001,國立政治大學,04141067,國際經營與貿易學系,碩士班(日間),...,...,6,3,3,1,1,0,1,0,1,0,0,0,4,2,2
106,公立,一般大學,0001,國立政治大學,04143055,廣告學系,學士班(日間),...,...,10,0,10,3,0,3,6,0,6,1,0,1,0,0,0
106,公立,一般大學,0001,國立政治大學,04199072,科技管理與智慧財產研究所,碩士班(日間),...,...,4,2,2,0,0,0,0,0,0,1,1,0,3,1,2
106,公立,一般大學,0001,國立政治大學,04211073,法律學系,學士班(日間),...,...,4,2,2,0,0,0,4,2,2,0,0,0,0,0,0
106,公立,一般大學,0001,國立政治大學,04211074,法律科際整合研究所,碩士班(日間),...,...,1,1,0,0,0,0,0,0,0,0,0,0,1,1,0
106,公立,一般大學,0001,國立政治大學,04212073,法律學系,博士班,...,...,2,2,0,1,1,0,0,0,0,0,0,0,1,1,0
106,公立,一般大學,0001,國立政治大學,04212073,法律學系,碩士班(日間),...,...,5,2,3,0,0,0,0,0,0,0,0,0,5,2,3
106,公立,一般大學,0001,國立政治大學,05421079,統計學系,學士班(日間),...,...,2,1,1,0,0,0,1,1,0,1,0,1,0,0,0
106,公立,一般大學,0001,國立政治大學,05421079,統計學系,碩士班(日間),...,...,3,1,2,0,0,0,1,0,1,1,1,0,1,0,1
106,公立,一般大學,0001,國立政治大學,06131080,資訊管理學系,學士班(日間),...,...,1,1,0,0,0,0,0,0,0,1,1,0,0,0,0
106,公立,一般大學,0001,國立政治大學,06131081,資訊科學系,學士班(日間),...,...,1,1,0,0,0,0,0,0,0,1,1,0,0,0,0
106,公立,一般大學,0001,國立政治大學,06131082,社群網路與人智計算國際研究生博士學位學程,博士班,...,...,1,1,0,1,1,0,0,0,0,0,0,0,0,0,0
