學年度,設立別,學校類別,學校統計處代碼,學校名稱,系所代碼,系所名稱,學制班別(日間),境外學位生數小計,境外學位生數男,境外學位生數女,境外學位生數之在學比率(%)
106,公立,一般大學,0001,國立政治大學,09231084,社會工作研究所,碩士班(日間),4,1,3,6.78
106,公立,一般大學,0001,國立政治大學,04121065,財務管理學系,博士班,1,1,0,11.11
106,公立,一般大學,0001,國立政治大學,04122070,財政學系,博士班,2,0,2,16.67
106,公立,一般大學,0001,國立政治大學,04123069,風險管理與保險學系,博士班,3,0,3,16.67
106,公立,一般大學,0001,國立政治大學,04131060,企業管理學系,博士班,9,1,8,18.75
106,公立,一般大學,0001,國立政治大學,04134043,地政學系,博士班,2,2,0,10.53
106,公立,一般大學,0001,國立政治大學,05411078,應用數學系,博士班,1,1,0,20.00
106,公立,一般大學,0001,國立政治大學,01111001,教育學系,碩士班(日間),13,3,10,28.26
106,公立,一般大學,0001,國立政治大學,02222031,民族學系,碩士班(日間),1,0,1,3.23
106,公立,一般大學,0001,國立政治大學,02231022,哲學系,碩士班(日間),14,7,7,28.57
106,公立,一般大學,0001,國立政治大學,02311011,日本語文學系,碩士班(日間),5,2,3,19.23
106,公立,一般大學,0001,國立政治大學,02311014,韓國語文學系,碩士班(日間),3,0,3,14.29
106,公立,一般大學,0001,國立政治大學,03111025,應用經濟與社會發展英語碩士學位學程,碩士班(日間),10,5,5,34.48
106,公立,一般大學,0001,國立政治大學,03121026,政治學系,碩士班(日間),10,8,2,13.51
106,公立,一般大學,0001,國立政治大學,03131032,心理學系,碩士班(日間),11,5,6,12.50
106,公立,一般大學,0001,國立政治大學,03143036,日本研究碩士學位學程,碩士班(日間),7,3,4,17.95
106,公立,一般大學,0001,國立政治大學,03143040,亞太研究英語碩士學位學程,碩士班(日間),43,23,20,76.79
106,公立,一般大學,0001,國立政治大學,03199048,勞工研究所,碩士班(日間),4,2,2,5.00
106,公立,一般大學,0001,國立政治大學,04111059,會計學系,碩士班(日間),14,4,10,9.79
106,公立,一般大學,0001,國立政治大學,04123069,風險管理與保險學系,碩士班(日間),8,4,4,11.43
106,公立,一般大學,0001,國立政治大學,04134041,公共行政學系,碩士班(日間),4,1,3,3.13
106,公立,一般大學,0001,國立政治大學,04134043,地政學系,碩士班(日間),3,3,0,4.29
106,公立,一般大學,0001,國立政治大學,04141067,國際經營與貿易學系,碩士班(日間),10,5,5,8.85
106,公立,一般大學,0001,國立政治大學,04199072,科技管理與智慧財產研究所,碩士班(日間),11,4,7,7.53
106,公立,一般大學,0001,國立政治大學,04211073,法律學系,碩士班(日間),19,12,7,7.57
106,公立,一般大學,0001,國立政治大學,05421079,統計學系,碩士班(日間),7,4,3,11.11
106,公立,一般大學,0001,國立政治大學,06131081,資訊科學系,碩士班(日間),1,0,1,0.92
106,公立,一般大學,0001,國立政治大學,06134057,數位內容碩士學位學程,碩士班(日間),8,4,4,15.09
106,公立,一般大學,0001,國立政治大學,09121083,神經科學研究所,碩士班(日間),1,0,1,10.00
106,公立,一般大學,0002,國立清華大學,01113095,特殊教育學系,學士班(日間),28,6,22,15.14
106,公立,一般大學,0002,國立清華大學,01121091,幼兒教育學系,學士班(日間),23,2,21,6.74
106,公立,一般大學,0002,國立清華大學,01131105,英語教學系,學士班(日間),10,2,8,6.41
106,公立,一般大學,0002,國立清華大學,02131098,藝術與設計學系,學士班(日間),19,8,11,5.56
106,公立,一般大學,0002,國立清華大學,02151096,音樂學系,學士班(日間),7,3,4,4.93
106,公立,一般大學,0002,國立清華大學,03131077,教育心理與諮商學系,學士班(日間),9,4,5,5.08
