學年度,設立別,學校類別,學校統計處代碼,學校名稱,系所代碼,系所名稱,學制班別(日間),僑生小計,僑生男,僑生女,港澳生小計,港澳生男,港澳生女,僑生及港澳生數之在學比率(%)
106,公立,一般大學,0002,國立清華大學,05411043,數學系,學士班(日間),4,2,2,11,8,3,5.66
106,公立,一般大學,0002,國立清華大學,07132066,工程與系統科學系,學士班(日間),4,4,0,4,3,1,1.98
106,公立,一般大學,0002,國立清華大學,07141055,電機資訊學院學士班,學士班(日間),1,1,0,0,0,0,0.88
106,公立,一般大學,0002,國立清華大學,07151056,動力機械工程學系,學士班(日間),17,17,0,6,5,1,5.03
106,公立,一般大學,0002,國立清華大學,02221006,歷史研究所,博士班,0,0,0,1,1,0,4.17
106,公立,一般大學,0002,國立清華大學,02222007,人類學研究所,博士班,1,0,1,0,0,0,8.33
106,公立,一般大學,0002,國立清華大學,02321001,台灣文學研究所,博士班,0,0,0,1,0,1,6.67
106,公立,一般大學,0002,國立清華大學,05121029,生技產業博士學位學程,博士班,1,1,0,0,0,0,10.00
106,公立,一般大學,0002,國立清華大學,07111057,化學工程學系,博士班,1,0,1,1,1,0,1.90
106,公立,一般大學,0002,國立清華大學,02399005,語言學研究所,博士班,0,0,0,1,0,1,6.25
106,公立,一般大學,0002,國立清華大學,05331038,物理學系,博士班,2,2,0,1,1,0,4.92
106,公立,一般大學,0002,國立清華大學,01121091,幼兒教育學系,碩士班(日間),1,0,1,0,0,0,2.86
106,公立,一般大學,0002,國立清華大學,02222007,人類學研究所,碩士班(日間),2,1,1,0,0,0,5.13
106,公立,一般大學,0002,國立清華大學,02311002,外國語文學系,碩士班(日間),2,0,2,1,0,1,5.17
106,公立,一般大學,0002,國立清華大學,02321001,台灣文學研究所,碩士班(日間),0,0,0,1,1,0,2.13
106,公立,一般大學,0002,國立清華大學,03131077,教育心理與諮商學系,碩士班(日間),1,1,0,1,1,0,2.00
106,公立,一般大學,0002,國立清華大學,03141012,社會學研究所,碩士班(日間),0,0,0,2,2,0,2.63
106,公立,一般大學,0002,國立清華大學,04131018,國際專業管理碩士班,碩士班(日間),0,0,0,1,0,1,1.72
106,公立,一般大學,0002,國立清華大學,04199017,科技管理研究所,碩士班(日間),1,1,0,1,1,0,3.13
106,公立,一般大學,0002,國立清華大學,07151056,動力機械工程學系,博士班,1,1,0,0,0,0,1.10
106,公立,一般大學,0002,國立清華大學,01111084,教育與學習科技學系,碩士班(日間),0,0,0,1,0,1,0.88
106,公立,一般大學,0002,國立清華大學,01141090,體育學系,碩士班(日間),0,0,0,1,1,0,3.45
106,公立,一般大學,0002,國立清華大學,02221006,歷史研究所,碩士班(日間),0,0,0,2,2,0,4.08
106,公立,一般大學,0002,國立清華大學,02322003,中國文學系,碩士班(日間),1,0,1,4,2,2,6.41
106,公立,一般大學,0002,國立清華大學,02399005,語言學研究所,碩士班(日間),1,0,1,1,0,1,4.35
106,公立,一般大學,0002,國立清華大學,05121030,生物資訊與結構生物研究所,碩士班(日間),1,1,0,0,0,0,1.89
106,公立,一般大學,0002,國立清華大學,05124072,分子醫學研究所,碩士班(日間),0,0,0,1,1,0,2.63
106,公立,一般大學,0002,國立清華大學,05311037,化學系,碩士班(日間),2,1,1,1,1,0,1.69
106,公立,一般大學,0002,國立清華大學,05331038,物理學系,碩士班(日間),1,1,0,1,1,0,1.37
106,公立,一般大學,0002,國立清華大學,05332039,天文研究所,碩士班(日間),0,0,0,1,0,1,10.00
106,公立,一般大學,0002,國立清華大學,06131053,資訊工程學系,碩士班(日間),3,2,1,3,2,1,1.70
106,公立,一般大學,0002,國立清華大學,07111057,化學工程學系,碩士班(日間),2,1,1,0,0,0,1.31
106,公立,一般大學,0002,國立清華大學,07112058,材料科學工程學系,碩士班(日間),0,0,0,1,1,0,0.40
106,公立,一般大學,0002,國立清華大學,07141054,通訊工程研究所,碩士班(日間),1,1,0,0,0,0,0.72
106,公立,一般大學,0002,國立清華大學,07191061,工業工程與工程管理學系,碩士班(日間),4,4,0,1,1,0,2.60
106,公立,一般大學,0002,國立清華大學,01111084,教育與學習科技學系,學士班(日間),13,2,11,5,2,3,5.20
106,公立,一般大學,0002,國立清華大學,02299010,人文社會學院學士班,學士班(日間),7,1,6,4,2,2,3.18
106,公立,一般大學,0002,國立清華大學,02322003,中國文學系,學士班(日間),8,1,7,6,2,4,6.86
106,公立,一般大學,0002,國立清華大學,02322109,中國語文學系,學士班(日間),3,1,2,3,1,2,4.26
