學年度,設立別,學校類別,學校統計處代碼,學校名稱,學制班別,在學學生數小計,在學學生數男,在學學生數女
111,公立,技專校院,0046,國立臺北護理健康大學,碩士班(日間),547,82,465
111,公立,技專校院,0046,國立臺北護理健康大學,碩士在職專班,208,31,177
111,公立,技專校院,0046,國立臺北護理健康大學,博士班,77,8,69
111,公立,技專校院,0047,國立高雄餐旅大學,五專,251,100,151
111,公立,技專校院,0047,國立高雄餐旅大學,學士班(日間),3009,981,2028
111,公立,技專校院,0047,國立高雄餐旅大學,學士班(進修),1052,376,676
111,公立,技專校院,0047,國立高雄餐旅大學,碩士班(日間),155,53,102
111,公立,技專校院,0047,國立高雄餐旅大學,碩士在職專班,23,11,12
111,公立,技專校院,0047,國立高雄餐旅大學,博士班,31,17,14
111,公立,一般大學,0048,國立金門大學,學士班(日間),3091,1627,1464
111,公立,一般大學,0048,國立金門大學,學士班(進修),775,421,354
111,公立,一般大學,0048,國立金門大學,碩士班(日間),222,123,99
111,公立,一般大學,0048,國立金門大學,碩士在職專班,85,43,42
111,公立,一般大學,0048,國立金門大學,博士班,2,1,1
111,公立,一般大學,0049,國立臺灣體育運動大學,學士班(日間),2351,1368,983
111,公立,一般大學,0049,國立臺灣體育運動大學,學士班(進修),367,263,104
111,公立,一般大學,0049,國立臺灣體育運動大學,碩士班(日間),273,135,138
111,公立,一般大學,0049,國立臺灣體育運動大學,碩士在職專班,117,80,37
111,公立,一般大學,0049,國立臺灣體育運動大學,博士班,14,6,8
111,公立,技專校院,0050,國立臺中科技大學,二專(進修),1007,382,625
111,公立,技專校院,0050,國立臺中科技大學,五專,3694,1039,2655
111,公立,技專校院,0050,國立臺中科技大學,學士班(日間),6859,2217,4642
111,公立,技專校院,0050,國立臺中科技大學,學士班(進修),3824,1283,2541
111,公立,技專校院,0050,國立臺中科技大學,碩士班(日間),439,181,258
111,公立,技專校院,0050,國立臺中科技大學,碩士在職專班,272,94,178
111,公立,技專校院,0051,國立臺北商業大學,二專(進修),302,106,196
111,公立,技專校院,0051,國立臺北商業大學,五專,1755,515,1240
111,公立,技專校院,0051,國立臺北商業大學,學士班(日間),3034,924,2110
111,公立,技專校院,0051,國立臺北商業大學,學士班(進修),1789,662,1127
111,公立,技專校院,0051,國立臺北商業大學,碩士班(日間),307,122,185
111,公立,技專校院,0051,國立臺北商業大學,碩士在職專班,94,33,61
111,公立,技專校院,0051,國立臺北商業大學,博士班,9,8,1
111,公立,一般大學,0052,國立屏東大學,學士班(日間),6538,2886,3652
111,公立,一般大學,0052,國立屏東大學,學士班(進修),715,339,376
111,公立,一般大學,0052,國立屏東大學,碩士班(日間),912,349,563
111,公立,一般大學,0052,國立屏東大學,碩士在職專班,711,225,486
111,公立,一般大學,0052,國立屏東大學,博士班,46,23,23
111,公立,技專校院,0053,國立高雄科技大學,五專,867,703,164
111,公立,技專校院,0053,國立高雄科技大學,學士班(日間),17899,11105,6794
111,公立,技專校院,0053,國立高雄科技大學,學士班(進修),3856,2597,1259
111,公立,技專校院,0053,國立高雄科技大學,碩士班(日間),2618,1753,865
111,公立,技專校院,0053,國立高雄科技大學,碩士在職專班,2010,1261,749
111,公立,技專校院,0053,國立高雄科技大學,博士班,598,444,154
111,公立,技專校院,0053,國立高雄科技大學,附設進院,595,320,275
111,公立,技專校院,0144,國立臺灣戲曲學院,學士班(日間),516,194,322
111,公立,技專校院,0221,國立臺南護理專科學校,二專(日間),77,3,74
111,公立,技專校院,0221,國立臺南護理專科學校,二專(進修),43,9,34
111,公立,技專校院,0221,國立臺南護理專科學校,五專,1865,184,1681
111,公立,技專校院,0222,國立臺東專科學校,二專(日間),438,299,139
111,公立,技專校院,0222,國立臺東專科學校,二專(進修),96,43,53
111,公立,技專校院,0222,國立臺東專科學校,五專,221,113,108
111,私立,一般大學,1001,東海大學,學士班(日間),12607,5657,6950
111,私立,一般大學,1001,東海大學,學士班(進修),308,149,159
111,私立,一般大學,1001,東海大學,碩士班(日間),1368,656,712
111,私立,一般大學,1001,東海大學,碩士在職專班,760,373,387
111,私立,一般大學,1001,東海大學,博士班,240,150,90
111,私立,一般大學,1002,輔仁大學,學士班(日間),17908,7347,10561
111,私立,一般大學,1002,輔仁大學,學士班(進修),4141,1646,2495
111,私立,一般大學,1002,輔仁大學,碩士班(日間),2008,782,1226
111,私立,一般大學,1002,輔仁大學,碩士在職專班,1501,580,921
111,私立,一般大學,1002,輔仁大學,博士班,423,218,205
111,私立,一般大學,1003,東吳大學,學士班(日間),11772,4634,7138
111,私立,一般大學,1003,東吳大學,學士班(進修),772,296,476
111,私立,一般大學,1003,東吳大學,碩士班(日間),1335,599,736
111,私立,一般大學,1003,東吳大學,碩士在職專班,1281,590,691
111,私立,一般大學,1003,東吳大學,博士班,127,73,54
111,私立,一般大學,1004,中原大學,學士班(日間),13751,7176,6575
111,私立,一般大學,1004,中原大學,碩士班(日間),1596,902,694
111,私立,一般大學,1004,中原大學,碩士在職專班,927,545,382
111,私立,一般大學,1004,中原大學,博士班,355,243,112
111,私立,一般大學,1005,淡江大學學校財團法人淡江大學,學士班(日間),19799,10498,9301
111,私立,一般大學,1005,淡江大學學校財團法人淡江大學,學士班(進修),1002,592,410
111,私立,一般大學,1005,淡江大學學校財團法人淡江大學,碩士班(日間),1491,827,664
111,私立,一般大學,1005,淡江大學學校財團法人淡江大學,碩士在職專班,670,330,340
111,私立,一般大學,1005,淡江大學學校財團法人淡江大學,博士班,366,242,124
111,私立,一般大學,1006,中國文化大學,學士班(日間),18166,9218,8948
111,私立,一般大學,1006,中國文化大學,學士班(進修),1482,575,907
111,私立,一般大學,1006,中國文化大學,碩士班(日間),1536,826,710
111,私立,一般大學,1006,中國文化大學,碩士在職專班,573,207,366
111,私立,一般大學,1006,中國文化大學,博士班,508,312,196
111,私立,一般大學,1007,逢甲大學,學士班(日間),17341,10018,7323
111,私立,一般大學,1007,逢甲大學,學士班(進修),835,499,336
111,私立,一般大學,1007,逢甲大學,碩士班(日間),1694,1106,588
111,私立,一般大學,1007,逢甲大學,碩士在職專班,1156,705,451
111,私立,一般大學,1007,逢甲大學,博士班,415,292,123
111,私立,一般大學,1008,靜宜大學,學士班(日間),10642,4082,6560
111,私立,一般大學,1008,靜宜大學,碩士班(日間),671,248,423
111,私立,一般大學,1008,靜宜大學,碩士在職專班,334,129,205
111,私立,一般大學,1008,靜宜大學,博士班,59,29,30
111,私立,一般大學,1009,長庚大學,學士班(日間),5236,2535,2701
111,私立,一般大學,1009,長庚大學,碩士班(日間),1144,534,610
111,私立,一般大學,1009,長庚大學,碩士在職專班,183,95,88
111,私立,一般大學,1009,長庚大學,博士班,424,270,154
111,私立,一般大學,1010,元智大學,學士班(日間),7010,3928,3082
111,私立,一般大學,1010,元智大學,碩士班(日間),829,488,341
111,私立,一般大學,1010,元智大學,碩士在職專班,572,346,226
111,私立,一般大學,1010,元智大學,博士班,233,162,71
111,私立,一般大學,1011,中華大學學校財團法人中華大學,學士班(日間),3569,2436,1133
111,私立,一般大學,1011,中華大學學校財團法人中華大學,學士班(進修),405,264,141
111,私立,一般大學,1011,中華大學學校財團法人中華大學,碩士班(日間),288,176,112
111,私立,一般大學,1011,中華大學學校財團法人中華大學,碩士在職專班,134,88,46
111,私立,一般大學,1011,中華大學學校財團法人中華大學,博士班,65,48,17
111,私立,一般大學,1012,大葉大學,學士班(日間),4717,2603,2114
111,私立,一般大學,1012,大葉大學,學士班(進修),288,151,137
111,私立,一般大學,1012,大葉大學,碩士班(日間),397,221,176
111,私立,一般大學,1012,大葉大學,碩士在職專班,188,91,97
111,私立,一般大學,1012,大葉大學,博士班,104,69,35
111,私立,一般大學,1013,華梵學校財團法人華梵大學,學士班(日間),562,276,286
111,私立,一般大學,1013,華梵學校財團法人華梵大學,碩士班(日間),181,76,105
111,私立,一般大學,1013,華梵學校財團法人華梵大學,碩士在職專班,184,71,113
111,私立,一般大學,1013,華梵學校財團法人華梵大學,博士班,64,30,34
111,私立,一般大學,1014,義守大學,學士班(日間),11217,5694,5523
111,私立,一般大學,1014,義守大學,學士班(進修),881,560,321
111,私立,一般大學,1014,義守大學,碩士班(日間),347,181,166
111,私立,一般大學,1014,義守大學,碩士在職專班,353,233,120
111,私立,一般大學,1014,義守大學,博士班,143,100,43
111,私立,一般大學,1015,世新大學,學士班(日間),9019,3210,5809
111,私立,一般大學,1015,世新大學,學士班(進修),696,241,455
111,私立,一般大學,1015,世新大學,碩士班(日間),543,258,285
111,私立,一般大學,1015,世新大學,碩士在職專班,559,282,277
111,私立,一般大學,1015,世新大學,博士班,82,47,35
111,私立,一般大學,1016,銘傳大學,學士班(日間),16655,6628,10027
111,私立,一般大學,1016,銘傳大學,碩士班(日間),789,299,490
111,私立,一般大學,1016,銘傳大學,碩士在職專班,745,317,428
111,私立,一般大學,1016,銘傳大學,博士班,67,32,35
111,私立,一般大學,1017,實踐大學,學士班(日間),9896,3316,6580
111,私立,一般大學,1017,實踐大學,學士班(進修),1484,473,1011
111,私立,一般大學,1017,實踐大學,碩士班(日間),357,162,195
111,私立,一般大學,1017,實踐大學,碩士在職專班,111,27,84
111,私立,一般大學,1017,實踐大學,博士班,27,12,15
111,私立,技專校院,1018,朝陽科技大學,學士班(日間),11174,4927,6247
111,私立,技專校院,1018,朝陽科技大學,學士班(進修),1640,815,825
111,私立,技專校院,1018,朝陽科技大學,碩士班(日間),609,311,298
111,私立,技專校院,1018,朝陽科技大學,碩士在職專班,276,124,152
111,私立,技專校院,1018,朝陽科技大學,博士班,112,73,39
111,私立,一般大學,1019,高雄醫學大學,學士班(日間),5274,2242,3032
111,私立,一般大學,1019,高雄醫學大學,碩士班(日間),701,226,475
111,私立,一般大學,1019,高雄醫學大學,碩士在職專班,230,89,141
111,私立,一般大學,1019,高雄醫學大學,博士班,313,151,162
111,私立,一般大學,1020,南華大學,學士班(日間),3934,1860,2074
111,私立,一般大學,1020,南華大學,學士班(進修),298,180,118
111,私立,一般大學,1020,南華大學,碩士班(日間),514,183,331
111,私立,一般大學,1020,南華大學,碩士在職專班,343,130,213
111,私立,一般大學,1020,南華大學,博士班,47,29,18
111,私立,一般大學,1021,真理大學,學士班(日間),4175,2155,2020
111,私立,一般大學,1021,真理大學,學士班(進修),1,1,0
111,私立,一般大學,1021,真理大學,碩士班(日間),124,64,60
111,私立,一般大學,1021,真理大學,碩士在職專班,14,4,10
111,私立,一般大學,1022,大同大學,學士班(日間),3351,2102,1249
111,私立,一般大學,1022,大同大學,碩士班(日間),223,140,83
111,私立,一般大學,1022,大同大學,碩士在職專班,149,114,35
111,私立,一般大學,1022,大同大學,博士班,95,62,33
111,私立,技專校院,1023,南臺學校財團法人南臺科技大學,五專,414,361,53
111,私立,技專校院,1023,南臺學校財團法人南臺科技大學,學士班(日間),11718,6801,4917
111,私立,技專校院,1023,南臺學校財團法人南臺科技大學,學士班(進修),2833,1773,1060
111,私立,技專校院,1023,南臺學校財團法人南臺科技大學,碩士班(日間),741,424,317
111,私立,技專校院,1023,南臺學校財團法人南臺科技大學,碩士在職專班,321,160,161
111,私立,技專校院,1023,南臺學校財團法人南臺科技大學,博士班,79,53,26
111,私立,技專校院,1024,崑山科技大學,二專(日間),12,3,9
111,私立,技專校院,1024,崑山科技大學,二專(進修),1,1,0
111,私立,技專校院,1024,崑山科技大學,學士班(日間),6353,3797,2556
111,私立,技專校院,1024,崑山科技大學,學士班(進修),2401,1613,788
111,私立,技專校院,1024,崑山科技大學,碩士班(日間),307,192,115
111,私立,技專校院,1024,崑山科技大學,碩士在職專班,172,114,58
111,私立,技專校院,1024,崑山科技大學,博士班,30,24,6
111,私立,技專校院,1025,嘉藥學校財團法人嘉南藥理大學,五專,112,51,61
111,私立,技專校院,1025,嘉藥學校財團法人嘉南藥理大學,學士班(日間),8428,3516,4912
111,私立,技專校院,1025,嘉藥學校財團法人嘉南藥理大學,學士班(進修),1720,682,1038
111,私立,技專校院,1025,嘉藥學校財團法人嘉南藥理大學,碩士班(日間),164,71,93
111,私立,技專校院,1025,嘉藥學校財團法人嘉南藥理大學,碩士在職專班,192,84,108
111,私立,技專校院,1026,樹德科技大學,二專(進修),308,157,151
111,私立,技專校院,1026,樹德科技大學,學士班(日間),6632,2892,3740
