學年度,設立別,學校類別,學校統計處代碼,學校名稱,學制班別,性別,在學學生數,於學年底處於休學狀態之人數-總計,於學年底處於休學狀態之人數-學生自請休學原因-小計,於學年底處於休學狀態之人數-學生自請休學原因-傷病,於學年底處於休學狀態之人數-學生自請休學原因-經濟困難,於學年底處於休學狀態之人數-學生自請休學原因-就讀學校、科系不符期待,於學年底處於休學狀態之人數-學生自請休學原因-學業成績不佳,於學年底處於休學狀態之人數-學生自請休學原因-工作,於學年底處於休學狀態之人數-學生自請休學原因-懷孕,於學年底處於休學狀態之人數-學生自請休學原因-育嬰,於學年底處於休學狀態之人數-學生自請休學原因-兵役,於學年底處於休學狀態之人數-學生自請休學原因-出國,於學年底處於休學狀態之人數-學生自請休學原因-論文撰寫,於學年底處於休學狀態之人數-學生自請休學原因-就學環境,於學年底處於休學狀態之人數-學生自請休學原因-家務或家人照顧,於學年底處於休學狀態之人數-學生自請休學原因-考試訓練,於學年底處於休學狀態之人數-學生自請休學原因-其他,於學年底處於休學狀態之人數-學校勒令休學原因-小計,於學年底處於休學狀態之人數-學校勒令休學原因-違反校規,於學年底處於休學狀態之人數-學校勒令休學原因-其他
112,公立,一般大學,0009,國立中山大學,博士班,男,520,112,112,4,1,0,0,43,0,7,0,2,35,1,19,0,0,0,0,0
112,公立,一般大學,0009,國立中山大學,學士班(日間),女,1989,80,80,8,1,38,1,2,1,1,0,9,0,4,12,3,0,0,0,0
112,公立,一般大學,0009,國立中山大學,碩士班(日間),女,1330,138,138,7,1,10,2,41,6,8,0,7,30,5,16,5,0,0,0,0
112,公立,一般大學,0009,國立中山大學,碩士在職專班,女,542,103,103,5,0,2,0,33,1,15,0,1,17,0,28,1,0,0,0,0
112,公立,一般大學,0009,國立中山大學,博士班,女,319,62,62,10,1,2,0,12,1,4,0,2,13,1,16,0,0,0,0,0
112,公立,一般大學,0012,國立臺灣海洋大學,學士班(日間),男,4176,170,169,9,3,43,30,16,0,0,3,15,0,11,33,6,0,1,0,1
112,公立,一般大學,0012,國立臺灣海洋大學,學士班(進修),男,380,41,40,1,0,3,3,18,0,0,4,0,0,0,10,1,0,1,0,1
112,公立,一般大學,0012,國立臺灣海洋大學,碩士班(日間),男,1044,138,138,6,7,12,5,30,0,0,16,3,18,6,27,7,1,0,0,0
112,公立,一般大學,0012,國立臺灣海洋大學,碩士在職專班,男,363,70,70,1,0,1,0,41,0,0,0,1,12,0,13,1,0,0,0,0
112,公立,一般大學,0012,國立臺灣海洋大學,博士班,男,229,44,44,1,1,0,0,21,0,1,3,1,7,0,9,0,0,0,0,0
112,公立,一般大學,0012,國立臺灣海洋大學,學士班(日間),女,1935,72,72,9,3,22,6,3,0,0,0,11,0,6,8,4,0,0,0,0
112,公立,一般大學,0012,國立臺灣海洋大學,學士班(進修),女,171,16,16,1,0,2,0,8,0,0,0,0,0,0,5,0,0,0,0,0
112,公立,一般大學,0012,國立臺灣海洋大學,碩士班(日間),女,547,57,57,1,6,8,0,21,1,0,0,4,6,2,8,0,0,0,0,0
112,公立,一般大學,0012,國立臺灣海洋大學,碩士在職專班,女,271,49,49,4,1,2,0,15,1,2,0,0,6,0,17,1,0,0,0,0
112,公立,一般大學,0012,國立臺灣海洋大學,博士班,女,98,15,15,0,0,1,0,9,1,0,0,0,3,0,1,0,0,0,0,0
112,公立,一般大學,0013,國立中正大學,學士班(日間),男,3555,149,149,13,5,77,15,4,0,0,0,13,0,10,6,1,5,0,0,0
112,公立,一般大學,0013,國立中正大學,碩士班(日間),男,1672,169,168,6,3,22,8,35,0,1,2,6,43,5,10,12,15,1,0,1
112,公立,一般大學,0013,國立中正大學,碩士在職專班,男,600,133,133,3,0,0,1,65,0,12,0,1,41,0,8,0,2,0,0,0
112,公立,一般大學,0013,國立中正大學,博士班,男,332,76,75,1,0,0,1,26,0,9,1,0,21,0,10,2,4,1,0,1
112,公立,一般大學,0013,國立中正大學,學士班(日間),女,3098,95,95,13,1,41,7,2,0,0,0,16,0,7,4,4,0,0,0,0
