學年度,設立別,學校類別,學校統計處代碼,學校名稱,系所代碼,系所名稱,學制班別,在學學生數小計,在學學生數男,在學學生數女
111,公立,一般大學,0002,國立清華大學,02131098,藝術與設計學系,學士班(日間),317,66,251
111,公立,一般大學,0002,國立清華大學,02131098,藝術與設計學系,碩士班(日間),85,19,66
111,公立,一般大學,0002,國立清華大學,02151096,音樂學系,學士班(日間),150,61,89
111,公立,一般大學,0002,國立清華大學,02151096,音樂學系,碩士班(日間),68,22,46
111,公立,一般大學,0002,國立清華大學,02151096,音樂學系音樂碩士在職專班,碩士在職專班,1,0,1
111,公立,一般大學,0002,國立清華大學,02191113,藝術學院學士班,學士班(日間),145,49,96
111,公立,一般大學,0002,國立清華大學,02221006,歷史研究所,碩士班(日間),36,18,18
111,公立,一般大學,0002,國立清華大學,02221006,歷史研究所,博士班,17,10,7
111,公立,一般大學,0002,國立清華大學,02222007,人類學研究所,碩士班(日間),45,16,29
111,公立,一般大學,0002,國立清華大學,02222007,人類學研究所,博士班,6,5,1
111,公立,一般大學,0002,國立清華大學,02231008,哲學研究所,碩士班(日間),33,25,8
111,公立,一般大學,0002,國立清華大學,02231008,哲學研究所,博士班,1,1,0
111,公立,一般大學,0002,國立清華大學,02299009,亞際文化研究國際碩士學位學程(台灣聯合大學系統),碩士班(日間),9,3,6
111,公立,一般大學,0002,國立清華大學,02299010,人文社會學院學士班,學士班(日間),359,98,261
111,公立,一般大學,0002,國立清華大學,02311002,外國語文學系,學士班(日間),188,57,131
111,公立,一般大學,0002,國立清華大學,02311002,外國語文學系,碩士班(日間),31,5,26
111,公立,一般大學,0002,國立清華大學,02321001,台灣文學研究所,碩士班(日間),46,24,22
111,公立,一般大學,0002,國立清華大學,02321001,台灣文學研究所,博士班,19,8,11
111,公立,一般大學,0002,國立清華大學,02321101,臺灣語言研究與教學研究所,碩士班(日間),53,15,38
111,公立,一般大學,0002,國立清華大學,02321101,臺灣語言研究與教學研究所,博士班,22,7,15
111,公立,一般大學,0002,國立清華大學,02322003,中國文學系,學士班(日間),211,60,151
111,公立,一般大學,0002,國立清華大學,02322003,中國文學系,碩士班(日間),94,23,71
111,公立,一般大學,0002,國立清華大學,02322003,中國文學系,博士班,58,23,35
111,公立,一般大學,0002,國立清華大學,02322109,中國語文學系,學士班(日間),1,0,1
111,公立,一般大學,0002,國立清華大學,02322109,中國語文學系,碩士班(日間),10,2,8
