學年度,設立別,學校類別,學校統計處代碼,學校名稱,系所代碼,系所名稱,學制班別,性別,在學學生數,於學年底處於休學狀態之人數-總計,於學年底處於休學狀態之人數-學生自請休學原因-小計,於學年底處於休學狀態之人數-學生自請休學原因-傷病,於學年底處於休學狀態之人數-學生自請休學原因-經濟困難,於學年底處於休學狀態之人數-學生自請休學原因-就讀學校、科系不符期待,於學年底處於休學狀態之人數-學生自請休學原因-學業成績不佳,於學年底處於休學狀態之人數-學生自請休學原因-工作,於學年底處於休學狀態之人數-學生自請休學原因-懷孕,於學年底處於休學狀態之人數-學生自請休學原因-育嬰,於學年底處於休學狀態之人數-學生自請休學原因-兵役,於學年底處於休學狀態之人數-學生自請休學原因-出國,於學年底處於休學狀態之人數-學生自請休學原因-論文撰寫,於學年底處於休學狀態之人數-學生自請休學原因-就學環境,於學年底處於休學狀態之人數-學生自請休學原因-家務或家人照顧,於學年底處於休學狀態之人數-學生自請休學原因-考試訓練,於學年底處於休學狀態之人數-學生自請休學原因-其他,於學年底處於休學狀態之人數-學校勒令休學原因-小計,於學年底處於休學狀態之人數-學校勒令休學原因-違反校規,於學年底處於休學狀態之人數-學校勒令休學原因-其他
113,公立,一般大學,0001,國立政治大學,02311012,阿拉伯語文學系,學士班(日間),男,62,10,6,1,0,1,0,0,0,0,0,1,0,0,0,0,3,4,0,4
113,公立,一般大學,0001,國立政治大學,02311012,阿拉伯語文學系,學士班(日間),女,106,9,9,1,0,0,0,0,0,0,0,2,0,0,1,0,5,0,0,0
113,公立,一般大學,0001,國立政治大學,02311014,韓國語文學系,學士班(日間),男,29,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
113,公立,一般大學,0001,國立政治大學,02311014,韓國語文學系,學士班(日間),女,124,2,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,1
113,公立,一般大學,0001,國立政治大學,02311014,韓國語文學系,碩士班(日間),女,24,11,9,0,0,0,0,3,0,0,0,0,5,0,0,0,1,2,0,2
113,公立,一般大學,0001,國立政治大學,02311015,土耳其語文學系,學士班(日間),男,31,3,3,0,0,1,0,0,0,0,0,1,0,0,0,0,1,0,0,0
113,公立,一般大學,0001,國立政治大學,02311015,土耳其語文學系,學士班(日間),女,84,3,3,1,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0
113,公立,一般大學,0001,國立政治大學,02311016,歐洲語文學系,學士班(日間),男,52,3,3,1,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0
113,公立,一般大學,0001,國立政治大學,02311016,歐洲語文學系,學士班(日間),女,212,9,6,2,0,0,0,0,0,0,0,4,0,0,0,0,0,3,0,3
113,公立,一般大學,0001,國立政治大學,02311017,斯拉夫語文學系,學士班(日間),男,53,4,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,3
113,公立,一般大學,0001,國立政治大學,02311017,斯拉夫語文學系,碩士班(日間),男,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
113,公立,一般大學,0001,國立政治大學,02311017,斯拉夫語文學系,學士班(日間),女,145,10,9,2,0,0,0,0,0,0,0,4,0,0,0,0,3,1,0,1
113,公立,一般大學,0001,國立政治大學,02311017,斯拉夫語文學系,碩士班(日間),女,10,2,2,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0
113,公立,一般大學,0001,國立政治大學,02311099,東南亞語文學系,學士班(日間),男,49,3,2,0,0,0,0,0,0,0,0,0,0,0,1,0,1,1,0,1
113,公立,一般大學,0001,國立政治大學,02311099,東南亞語文學系,學士班(日間),女,138,5,5,1,0,0,0,0,0,0,0,2,0,0,1,0,1,0,0,0
113,公立,一般大學,0001,國立政治大學,02321007,台灣文學研究所,碩士班(日間),男,15,2,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,1
113,公立,一般大學,0001,國立政治大學,02321007,台灣文學研究所,博士班,男,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
113,公立,一般大學,0001,國立政治大學,02321007,台灣文學研究所,碩士班(日間),女,20,13,9,1,0,0,0,2,1,0,0,0,4,0,1,0,0,4,0,4
113,公立,一般大學,0001,國立政治大學,02321007,台灣文學研究所,博士班,女,7,1,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0
113,公立,一般大學,0001,國立政治大學,02322008,中國文學系,學士班(日間),男,82,8,5,0,1,1,0,1,0,0,0,0,0,0,0,0,2,3,0,3
113,公立,一般大學,0001,國立政治大學,02322008,中國文學系,碩士班(日間),男,32,12,9,2,1,0,0,1,0,0,1,0,3,0,0,0,1,3,0,3
113,公立,一般大學,0001,國立政治大學,02322008,中國文學系,博士班,男,21,11,8,0,0,0,0,0,0,2,0,0,5,0,1,0,0,3,0,3
113,公立,一般大學,0001,國立政治大學,02322008,中國文學系,學士班(日間),女,257,8,6,3,0,0,1,0,0,0,0,0,0,0,1,0,1,2,0,2
