學年度,設立別,學校類別,學校統計處代碼,學校名稱,學制班別(日間),國家(地區)別,國家(地區)區域別,境外學位生總人數(A)(A=B+C+D+E)小計,境外學位生總人數(A)(A=B+C+D+E)男,境外學位生總人數(A)(A=B+C+D+E)女,外國學生(B)小計,外國學生(B)男,外國學生(B)女,僑生(C)小計,僑生(C)男,僑生(C)女,港澳生(D)小計,港澳生(D)男,港澳生(D)女,大陸地區來臺學位生(E)小計,大陸地區來臺學位生(E)男,大陸地區來臺學位生(E)女
111,私立,一般大學,1014,義守大學,學士班(日間),斐濟群島共和國,其他亞洲地區,1,0,1,1,0,1,0,0,0,0,0,0,0,0,0
111,私立,一般大學,1014,義守大學,學士班(日間),塔吉克共和國,其他亞洲地區,1,1,0,1,1,0,0,0,0,0,0,0,0,0,0
111,私立,一般大學,1014,義守大學,學士班(日間),新加坡共和國,東協,1,0,1,1,0,1,0,0,0,0,0,0,0,0,0
111,私立,一般大學,1014,義守大學,學士班(日間),聖文森(及格瑞那丁),中南美洲,3,1,2,3,1,2,0,0,0,0,0,0,0,0,0
111,私立,一般大學,1014,義守大學,學士班(日間),聖克里斯多福及尼維斯,中南美洲,4,0,4,4,0,4,0,0,0,0,0,0,0,0,0
111,私立,一般大學,1014,義守大學,學士班(日間),澳門,港澳,67,47,20,0,0,0,0,0,0,67,47,20,0,0,0
111,私立,一般大學,1014,義守大學,學士班(日間),巴拉圭,中南美洲,2,1,1,2,1,1,0,0,0,0,0,0,0,0,0
111,私立,一般大學,1014,義守大學,學士班(日間),史瓦帝尼王國,非洲,2,1,1,2,1,1,0,0,0,0,0,0,0,0,0
111,私立,一般大學,1014,義守大學,學士班(日間),瓜地馬拉共和國,中南美洲,2,1,1,2,1,1,0,0,0,0,0,0,0,0,0
111,私立,一般大學,1014,義守大學,學士班(日間),吉爾吉斯,其他亞洲地區,39,14,25,39,14,25,0,0,0,0,0,0,0,0,0
111,私立,一般大學,1014,義守大學,學士班(日間),帛琉共和國,其他亞洲地區,2,2,0,2,2,0,0,0,0,0,0,0,0,0,0
111,私立,一般大學,1014,義守大學,學士班(日間),俄羅斯聯邦,其他亞洲地區,2,1,1,2,1,1,0,0,0,0,0,0,0,0,0
111,私立,一般大學,1014,義守大學,學士班(日間),美國,北美洲,4,3,1,3,2,1,1,1,0,0,0,0,0,0,0
111,私立,一般大學,1014,義守大學,學士班(日間),埃及阿拉伯共和國,非洲,2,2,0,2,2,0,0,0,0,0,0,0,0,0,0
111,私立,一般大學,1014,義守大學,學士班(日間),泰國,東協,83,27,56,83,27,56,0,0,0,0,0,0,0,0,0
111,私立,一般大學,1014,義守大學,學士班(日間),烏茲別克共和國,其他亞洲地區,1,1,0,1,1,0,0,0,0,0,0,0,0,0,0
111,私立,一般大學,1014,義守大學,學士班(日間),馬來西亞,東協,152,85,67,96,56,40,56,29,27,0,0,0,0,0,0
111,私立,一般大學,1014,義守大學,學士班(日間),馬紹爾群島共和國,其他亞洲地區,3,3,0,3,3,0,0,0,0,0,0,0,0,0,0
111,私立,一般大學,1014,義守大學,學士班(日間),菲律賓共和國,東協,22,12,10,21,11,10,1,1,0,0,0,0,0,0,0
111,私立,一般大學,1014,義守大學,學士班(日間),越南社會主義共和國,東協,133,47,86,132,47,85,1,0,1,0,0,0,0,0,0
111,私立,一般大學,1014,義守大學,學士班(日間),聖露西亞,中南美洲,34,12,22,34,12,22,0,0,0,0,0,0,0,0,0
111,私立,一般大學,1014,義守大學,學士班(日間),蒙古國,其他亞洲地區,11,6,5,11,6,5,0,0,0,0,0,0,0,0,0
111,私立,一般大學,1014,義守大學,學士班(日間),薩爾瓦多,中南美洲,1,1,0,1,1,0,0,0,0,0,0,0,0,0,0
111,私立,一般大學,1014,義守大學,碩士班(日間),史瓦帝尼王國,非洲,1,0,1,1,0,1,0,0,0,0,0,0,0,0,0
111,私立,一般大學,1014,義守大學,碩士班(日間),印度尼西亞共和國,東協,9,3,6,9,3,6,0,0,0,0,0,0,0,0,0
111,私立,一般大學,1014,義守大學,碩士班(日間),吉爾吉斯,其他亞洲地區,1,0,1,1,0,1,0,0,0,0,0,0,0,0,0
111,私立,一般大學,1014,義守大學,碩士班(日間),泰國,東協,37,8,29,37,8,29,0,0,0,0,0,0,0,0,0
111,私立,一般大學,1014,義守大學,碩士班(日間),馬來西亞,東協,4,3,1,4,3,1,0,0,0,0,0,0,0,0,0
111,私立,一般大學,1014,義守大學,碩士班(日間),越南社會主義共和國,東協,40,13,27,40,13,27,0,0,0,0,0,0,0,0,0
111,私立,一般大學,1014,義守大學,碩士班(日間),蒙古國,其他亞洲地區,1,0,1,1,0,1,0,0,0,0,0,0,0,0,0
