學年度,設立別,學校類別,學校統計處代碼,學校名稱,日間/進修,學制班別,當學年度各學制總量內核定新生招生名額(A),當學年度各學制新生保留入學資格人數(B),當學年度各學制總量內新生招生核定名額之實際註冊人數(C),當學年度各學制境外(新生)學生實際註冊人數(D),當學年度各學制新生註冊率(%)E=〔(C+D)/(A-B+D)〕*100％,當學年度各學制招生特色說明
112,私立,一般大學,1014,義守大學,日間,學士班(含四技),2426,39,1720,221,74.42,義守大學為一所人文與科技並重、多元人才培育的國際化綜合大學，辦學績效卓著，為外界評比優良的私立大學之一，在英國泰晤士報高等教育特刊，2015年義守大學入列全球800名大學，其中教學成績為全台灣第14名，2016年列入亞洲前200名大學排行榜。2018年入選英國《泰晤士報》全球最佳年輕大學，2019年入選《遠見雜誌》台灣最佳大學排行榜，全國綜合大學前18名、南部私校綜合大學第1名。2021 年起，連續3年登榜QS 亞洲大學排名，整體表現位居401-450 名。
112,私立,一般大學,1016,銘傳大學,日間,學士班(含四技),3534,0,3071,402,88.24,1.銘傳大學係為紀念台灣首任巡撫劉銘傳而設立的知名大學，擁有66年的辦學經驗。2010年獲得美國MSCHE認證，成為亞洲唯一一所美國認證大學。2016年6月再次通過MSCHE 10年認證，與哥倫比亞大學、紐約大學、馬里蘭大學、賓州大學、康乃爾大學為同一認證體系。2017年7月管理學院通過AACSB國際認證。2.設有11個學院、43個學系，17萬校友及1.8萬名學士生、碩士及博士生，深受陸生及國際生喜愛，陸生人數名列前茅。3.英國高等教育調查公司(QS)公布「2023亞洲大學排名」，連續6年進榜，榮登全球著名學府。4.與全球202所知名大學締結姐妹校，外籍生數1111人。5.連續10年獲教育部「大學教學卓越計畫」獎勵，教學成效倍獲肯定。2022年連續5年獲高教深耕計畫補助。6.教師教學認真嚴謹指導學生參加科技部大專學生研究計畫，2022年獲獎勵數125件，全台第4名，私校綜合大學第1名。
113,私立,一般大學,1005,淡江大學學校財團法人淡江大學,日間,學士班(含四技),4145,1,4194,314,100.00,"本校學士班設有46學系(組),其中包含7個全英語授課學士班(組),如外交與國際關係學系全英語學士班、財務金融學系全球財務管理全英語學士班、國際企業學系國際商學全英語組、國際觀光管理學系全英語學士班、全球政治經濟學系全英語學士班、資訊工程學系全英語學士班、英文學系全英語學士班。本校有優質安全的校園環境、數位化圖書資訊服務、完善的住宿環境設施、豐富的職涯發展課程及弱勢助學補助措施,還有多元出國機會。招生管道：繁星推薦、申請入學、分發入學、運動績優、四技二專甄選、四技二專青年儲蓄帳戶組、學士班特殊選才招生。"
113,私立,一般大學,1006,中國文化大學,日間,學士班(含四技),3200,0,2539,110,80.03,"中國文化大學位於台北市,設有11個學院,學士班有60學系組學位學程、碩士班有40系所組學位學程、博士班有10所,為一綜合性大學。本校以發揚中華文化為主旨,系所多元完整,涵蓋各主要學術範疇；在中華文化陶冶及國際化的學習環境中,實現跨領域、跨產業、跨國界的育才目標,培養學生成為最靈活的人才！  本校為全國學系組學位學程最多之大學,提供每位學生多元學習的機會,除了雙主修輔系等選擇外,每系亦開設跨領域學分學程與專業學程。近年已取得ACCSB華文商管學院認證及IEET中華工程教育學會認證,顯示本校在教學及各項輔助資源之投入已獲認可。本校不僅重視文化傳承與創新外,同時也十分注重國際化,在全球締結超過400所姐妹校,設立跨國雙聯學位制度,更善用校內英、日、韓、俄、法等國語文學系的資源,以及全英語學位學程、華語中心,每年赴海外交流與在文大求學的境外學生多達一千多位,成功營造國際化的學習環境。"
113,私立,一般大學,1007,逢甲大學,日間,學士班(含四技),3850,0,3911,118,100.00,".本校商學院與金融學院皆通過AACSB國際商管教育認證,工程相關系所全面通過IEET國際工程及科技教育認證。 2.本校計有44個學系、學位學程招收學士班,113學年度共提供招生名額3,975名,除建築學士學位學程修業年限為5年之外,其餘均為4年；修足應修科目75與學分數(含非本系至少9學分),並通過本校及該系(學位學程)規定之各項考核(畢業條件)成績合格者,始得畢業授予學位。3.為培養學生具有國際競爭力,本校與32個國家(地區)255所大學建立學術交流合作關係,並與161所海外姊妹校簽訂交換學生協議,選送學生出國進修、實習、增強學生跨國交流學習的經驗。 4.本校提供多元學習環境並引進CDIO創新教育,跨領域專題學習,培養就業即戰力。 5.本校重視學生外語能力的培養,強化學生的國際移動力,並積極推動產學聯盟,讓學生具有國內外實習或專題實作經驗,提供國際交流或實習的機會,提升學生就業競爭力。"
113,私立,一般大學,1008,靜宜大學,日間,學士班(含四技),2103,1,2018,179,96.32,"1.本校連續19年獲教育部教學卓越與高教深耕計畫近13億元補助。2.榮獲「2024企業最愛大學生」一般私立大學TOP10；2024遠見台灣最佳大學排行「資通訊」全國10強私校第2。3.榮獲教育部青年發展署112年大專校院職涯輔導成果評選,全國唯一「金等獎」,厚植四年一貫職涯培力。4.全國唯一加入「國際交換學生計畫(ISEP)」之會員學校,僅需支付靜宜學費、膳宿費和活動費之國際交換與出國研修方案。5.推動「411 國際學習方案」：大學4 年出國遊留學1 次,國際實習1 次,擴展學生全球視野與學習。6.國際學院獲教育部「大專校院學生雙語化學習計畫」補助為重點培育學院。7.提供績優入學、學業成績優良等多項獎助學金。8.新生入學管道包括：特殊選才、繁星推薦、申請入學、四技二專甄選入學、四技二專特殊選才、分發入學及運動績優單獨招生及原住民專班。9.設國民小學及中等學校教育學程,提供學生多元就業發展。"
113,私立,一般大學,1014,義守大學,日間,學士班(含四技),2126,42,1767,247,86.40,"義守大學為一所人文與科技並重、多元人才培育的國際化綜合大學,辦學績效卓著,為外界評比優良的私立大學之一,在英國泰晤士報高等教育特刊,2015年義守大學入列全球800名大學,其中教學成績為全台灣第14名,2016年列入亞洲前200名大學排行榜。2018年入選英國《泰晤士報》全球最佳年輕大學,2019年入選《遠見雜誌》台灣最佳大學排行榜,全國綜合大學前18名、南部私校綜合大學第1名。2021 年起,連續3年登榜QS 亞洲大學排名,整體表現位居401-450 名。"
113,私立,一般大學,1014,義守大學,日間,學士後第二專長學士班(4+X),0,0,0,7,100.00,"義守大學為一所人文與科技並重、多元人才培育的國際化綜合大學,辦學績效卓著,為外界評比優良的私立大學之一,在英國泰晤士報高等教育特刊,2015年義守大學入列全球800名大學,其中教學成績為全台灣第14名,2016年列入亞洲前200名大學排行榜。2018年入選英國《泰晤士報》全球最佳年輕大學,2019年入選《遠見雜誌》台灣最佳大學排行榜,全國綜合大學前18名、南部私校綜合大學第1名。2021 年起,連續3年登榜QS 亞洲大學排名,整體表現位居401-450 名。"
113,私立,一般大學,1016,銘傳大學,日間,學士班(含四技),3432,0,3368,362,98.31,"1. 銘傳大學係為紀念台灣首任巡撫劉銘傳而設立的知名大學,擁有66年的辦學經驗。2010年獲得美國MSCHE認證,成為亞洲唯一一所美國認證大學。2016年6月再次通過MSCHE 10年認證,與哥倫比亞大學、紐約大學、馬里蘭大學、賓州大學、康乃爾大學為同一認證體系。2017年7月管理學院通過AACSB國際認證。2.設有11個學院、44個學系,18萬校友及1.75萬名學士生、碩士及博士生,深受陸生及國際生喜愛,陸生人數名列前茅。3.英國高等教育調查公司(QS)公布「2023亞洲大學排名」,連續6年進榜,榮登全球著名學府。4.與全球217所知名大學締結姐妹校,境外生數2040人。5.連續10年獲教育部「大學教學卓越計畫」獎勵,教學成效倍獲肯定。2023年連續6年獲高教深耕計畫補助。6.教師教學認真嚴謹指導學生參加科技部大專學生研究計畫,2023年獲獎勵數151件,全台第4名,私校綜合大學第1名。"
114,私立,一般大學,1005,淡江大學學校財團法人淡江大學,日間,學士班(含四技),4145,1,4211,299,100.00,"本校學士班設有46學系(組),其中包含8個全英語授課學士班(組),如外交與國際關係學系全英語學士班、財務金融學系全球財務管理全英語學士班、國際企業學系國際商學全英語組、企業管理學系全英語學士班、國際觀光管理學系全英語學士班、全球政治經濟學系全英語學士班、資訊工程學系全英語學士班、英文學系全英語學士班。本校有優質安全的校園環境、數位化圖書資訊服務、完善的住宿環境設施、豐富的職涯發展課程及弱勢助學補助措施,還有多元出國機會。招生管道：繁星推薦、申請入學、分發入學、運動績優、四技二專甄選、四技二專青年儲蓄帳戶組、學士班特殊選才招生。"
114,私立,一般大學,1006,中國文化大學,日間,學士班(含四技),2846,0,2540,382,90.52,"中國文化大學位於台北市,設有11個學院,學士班有55學系組學位學程、碩士班有35系所組學位學程、博士班有9所,為一綜合性大學。本校以發揚中華文化為主旨,系所多元完整,涵蓋各主要學術範疇；在中華文化陶冶及國際化的學習環境中,實現跨領域、跨產業、跨國界的育才目標,培養學生成為最靈活的人才！  本校為全國學系組學位學程最多之大學,提供每位學生多元學習的機會,除了雙主修輔系等選擇外,每系亦開設跨領域學分學程與專業學程。近年已取得ACCSB華文商管學院認證及IEET中華工程教育學會認證,顯示本校在教學及各項輔助資源之投入已獲認可。本校不僅重視文化傳承與創新外,同時也十分注重國際化,在全球締結超過400所姐妹校,設立跨國雙聯學位制度,更善用校內英、日、韓、俄、法等國語文學系的資源,以及全英語學位學程、華語中心,每年赴海外交流與在文大求學的境外學生多達一千多位,成功營造國際化的學習環境。"
114,私立,一般大學,1007,逢甲大學,日間,學士班(含四技),3850,0,3882,179,100.00,"1.本校商學院與金融學院皆通過AACSB國際商管教育認證,工程相關系所全面通過IEET國際工程及科技教育認證。2.本校計有47個學系、學位學程招收學士班,114學年度共提供招生名額3,975名,除建築學士學位學程修業年限為5年之外,其餘均為4年；修足應修科目與學分數(含非本系至少9學分),並通過本校及該系(學位學程)規定之各項考核(畢業條件)成績合格者,始得畢業授予學位。3.為培養學生具有國際競爭力,本校與33個國家(地區)261所大學建立學術交流合作關係,並與158所海外姊妹校簽訂交換學生協議,選送學生出國進修、實習、增強學生跨國交流學習的經驗。 4.本校提供多元學習環境並引進CDIO創新教育,跨領域專題學習,培養就業即戰力。 5.本校重視學生外語能力的培養,強化學生的國際移動力,並積極推動產學聯盟,讓學生具有國內外實習或專題實作經驗,提供國際交流或實習的機會,提升學生就業競爭力。"
114,私立,一般大學,1008,靜宜大學,日間,學士班(含四技),2103,1,2113,258,100.00,"1.本校連續20年獲教育部教學卓越與高教深耕計畫近14億元補助。2.榮獲「2024企業最愛大學生」一般私立大學TOP10；2024遠見台灣最佳大學排行「資通訊」全國10強私校第2。3.榮獲教育部青年發展署112年大專校院職涯輔導成果評選,全國唯一「金等獎」。4.管理學院、國際學院通過全球國際商管教育品質認證(AACSB),致力培育國際商管人才。5.全國唯一國際交換學生計畫(ISEP)會員學校,合作姊妹校近500所,《Cheers》最國際化大學排名,榮獲私立大學第一,全國第四。6.國際學院獲教育部「大專校院學生雙語化學習計畫」補助重點培育學院。7.提供績優入學、學業成績優良等多項獎助學金。8.新生入學管道包括：特殊選才、繁星推薦、申請入學、四技二專甄選入學、四技二專特殊選才、分發入學及運動績優單獨招生及原住民專班；115新增藝術跨域創作學士學位學程單獨招生。9.設國民小學及中等學校教育學程。"
114,私立,一般大學,1014,義守大學,日間,學士班(含四技),2102,43,1880,269,92.31,"義守大學為一所人文與科技並重、多元人才培育的國際化綜合大學,辦學績效卓著,為外界評比優良的私立大學之一,在英國泰晤士報高等教育特刊,2015年義守大學入列全球800名大學,其中教學成績為全台灣第14名,2016年列入亞洲前200名大學排行榜。2018年入選英國《泰晤士報》全球最佳年輕大學,2019年入選《遠見雜誌》台灣最佳大學排行榜,全國綜合大學前18名、南部私校綜合大學第1名。2021 年起,連續3年登榜QS 亞洲大學排名,整體表現位居401-450 名。"
114,私立,一般大學,1014,義守大學,日間,學士後第二專長學士班(4+X),0,0,0,4,100.00,"設備工程（以英語授課的兩年制學士學位課程）旨在培養學生在台灣取得成功職業所需的所有能力。它使學生具備中文程度、工程專業知識以及台灣工作環境和文化的知識。第二年,學生將獲得企業實習機會。畢業後還提供與企業的兩年工作合約,確保在台灣事業成功！"
114,私立,一般大學,1016,銘傳大學,日間,學士班(含四技),3403,0,3313,559,97.73,"1.銘傳大學係為紀念台灣首任巡撫劉銘傳而設立的知名大學,擁有67年的辦學經驗。獲得美國MSCHE認證,成為亞洲唯一一所美國認證大學。2016年6月再次通過MSCHE10年認證,與哥倫比亞大學、紐約大學、馬里蘭大學、賓州大學、康乃爾大學為同一認證體系。管理學院通過AACSB國際認證。2.設有11個學院、31個學系招收碩士生,18萬校友及1.75萬名學士生、碩士及博士生,深受陸生及國際生喜愛。3.英國高等教育調查公司(QS)公布「2024亞洲大學排名」,連續8年進榜,榮登全球著名學府。4. 與全球237所知名大學及大陸地區185所學校締結姊妹校。5.連續10年獲教育部「大學教學卓越計畫」獎勵,教學成效倍獲肯定。2024年連續7年獲高教深耕計畫補助。6.教師教學認真嚴謹指導學生參加科技部大專學生研究計畫,2024 國科會大專學生研究計畫獲152件補助案,全國第4名,私立綜合大學第一。"
