學年度,設立別,學校類別,學校統計處代碼,學校名稱,學制班別(日間),國家(地區)別,國家(地區)區域別,境外學位生總人數(A)(A=B+C+D+E)小計,境外學位生總人數(A)(A=B+C+D+E)男,境外學位生總人數(A)(A=B+C+D+E)女,外國學生(B)小計,外國學生(B)男,外國學生(B)女,僑生(C)小計,僑生(C)男,僑生(C)女,港澳生(D)小計,港澳生(D)男,港澳生(D)女,大陸地區來臺學位生(E)小計,大陸地區來臺學位生(E)男,大陸地區來臺學位生(E)女
111,私立,一般大學,1006,中國文化大學,學士班(日間),秘魯共和國,中南美洲,1,1,0,1,1,0,0,0,0,0,0,0,0,0,0
111,私立,一般大學,1006,中國文化大學,學士班(日間),馬來西亞,東協,254,135,119,144,83,61,110,52,58,0,0,0,0,0,0
111,私立,一般大學,1006,中國文化大學,學士班(日間),菲律賓共和國,東協,2,1,1,2,1,1,0,0,0,0,0,0,0,0,0
111,私立,一般大學,1006,中國文化大學,學士班(日間),塞爾維亞共和國,歐洲,1,1,0,1,1,0,0,0,0,0,0,0,0,0,0
111,私立,一般大學,1006,中國文化大學,學士班(日間),新加坡共和國,東協,1,1,0,0,0,0,1,1,0,0,0,0,0,0,0
111,私立,一般大學,1006,中國文化大學,學士班(日間),義大利共和國,歐洲,1,0,1,0,0,0,1,0,1,0,0,0,0,0,0
111,私立,一般大學,1006,中國文化大學,學士班(日間),聖文森(及格瑞那丁),中南美洲,1,1,0,1,1,0,0,0,0,0,0,0,0,0,0
111,私立,一般大學,1006,中國文化大學,學士班(日間),蒙古國,其他亞洲地區,4,3,1,4,3,1,0,0,0,0,0,0,0,0,0
111,私立,一般大學,1006,中國文化大學,學士班(日間),緬甸,東協,5,2,3,3,2,1,2,0,2,0,0,0,0,0,0
111,私立,一般大學,1007,逢甲大學,學士班(日間),日本,其他亞洲地區,145,65,80,142,63,79,3,2,1,0,0,0,0,0,0
111,私立,一般大學,1007,逢甲大學,學士班(日間),比利時王國,歐洲,1,1,0,1,1,0,0,0,0,0,0,0,0,0,0
111,私立,一般大學,1007,逢甲大學,學士班(日間),貝里斯,中南美洲,1,0,1,1,0,1,0,0,0,0,0,0,0,0,0
111,私立,一般大學,1007,逢甲大學,學士班(日間),委內瑞拉共和國,中南美洲,1,1,0,0,0,0,1,1,0,0,0,0,0,0,0
111,私立,一般大學,1007,逢甲大學,學士班(日間),法國,歐洲,5,3,2,5,3,2,0,0,0,0,0,0,0,0,0
111,私立,一般大學,1007,逢甲大學,學士班(日間),俄羅斯聯邦,其他亞洲地區,3,1,2,3,1,2,0,0,0,0,0,0,0,0,0
111,私立,一般大學,1007,逢甲大學,學士班(日間),美國,北美洲,5,4,1,2,1,1,3,3,0,0,0,0,0,0,0
111,私立,一般大學,1007,逢甲大學,學士班(日間),泰國,東協,42,14,28,41,13,28,1,1,0,0,0,0,0,0,0
111,私立,一般大學,1007,逢甲大學,學士班(日間),德意志聯邦共和國,歐洲,1,0,1,1,0,1,0,0,0,0,0,0,0,0,0
111,私立,一般大學,1007,逢甲大學,學士班(日間),緬甸,東協,1,1,0,0,0,0,1,1,0,0,0,0,0,0,0
111,私立,一般大學,1007,逢甲大學,學士班(日間),墨西哥合眾國,中南美洲,1,1,0,1,1,0,0,0,0,0,0,0,0,0,0
111,私立,一般大學,1007,逢甲大學,學士班(日間),大陸地區,大陸地區,62,41,21,0,0,0,0,0,0,0,0,0,62,41,21
111,私立,一般大學,1007,逢甲大學,學士班(日間),大韓民國(南韓),其他亞洲地區,8,3,5,7,2,5,1,1,0,0,0,0,0,0,0
111,私立,一般大學,1007,逢甲大學,學士班(日間),巴西聯邦共和國,中南美洲,1,1,0,1,1,0,0,0,0,0,0,0,0,0,0
111,私立,一般大學,1007,逢甲大學,學士班(日間),加拿大,北美洲,2,2,0,0,0,0,2,2,0,0,0,0,0,0,0
111,私立,一般大學,1007,逢甲大學,學士班(日間),印度尼西亞共和國,東協,119,62,57,101,50,51,18,12,6,0,0,0,0,0,0
111,私立,一般大學,1007,逢甲大學,學士班(日間),波蘭共和國,歐洲,1,1,0,1,1,0,0,0,0,0,0,0,0,0,0
111,私立,一般大學,1007,逢甲大學,學士班(日間),阿根廷,中南美洲,2,1,1,1,1,0,1,0,1,0,0,0,0,0,0
111,私立,一般大學,1007,逢甲大學,學士班(日間),南非共和國,非洲,6,3,3,2,1,1,4,2,2,0,0,0,0,0,0
111,私立,一般大學,1007,逢甲大學,學士班(日間),香港,港澳,270,196,74,0,0,0,0,0,0,270,196,74,0,0,0
111,私立,一般大學,1007,逢甲大學,學士班(日間),馬來西亞,東協,178,124,54,55,34,21,123,90,33,0,0,0,0,0,0
111,私立,一般大學,1007,逢甲大學,學士班(日間),荷蘭王國,歐洲,1,1,0,1,1,0,0,0,0,0,0,0,0,0,0
111,私立,一般大學,1007,逢甲大學,學士班(日間),菲律賓共和國,東協,2,0,2,0,0,0,2,0,2,0,0,0,0,0,0
111,私立,一般大學,1007,逢甲大學,學士班(日間),越南社會主義共和國,東協,34,10,24,27,10,17,7,0,7,0,0,0,0,0,0
111,私立,一般大學,1007,逢甲大學,學士班(日間),塔吉克共和國,其他亞洲地區,1,0,1,1,0,1,0,0,0,0,0,0,0,0,0
111,私立,一般大學,1007,逢甲大學,學士班(日間),新加坡共和國,東協,1,1,0,0,0,0,1,1,0,0,0,0,0,0,0
111,私立,一般大學,1007,逢甲大學,學士班(日間),聖文森(及格瑞那丁),中南美洲,1,1,0,1,1,0,0,0,0,0,0,0,0,0,0
111,私立,一般大學,1007,逢甲大學,學士班(日間),聖露西亞,中南美洲,1,1,0,1,1,0,0,0,0,0,0,0,0,0,0
111,私立,一般大學,1007,逢甲大學,學士班(日間),蒙古國,其他亞洲地區,4,3,1,4,3,1,0,0,0,0,0,0,0,0,0
