學年度,設立別,學校類別,學校統計處代碼,學校名稱,系所代碼,系所名稱,學制班別(日間),僑生小計,僑生男,僑生女,港澳生小計,港澳生男,港澳生女,僑生及港澳生數之在學比率(%)
111,私立,一般大學,1006,中國文化大學,06131021,資訊工程學系,學士班(日間),4,2,2,2,0,2,1.37
111,私立,一般大學,1006,中國文化大學,06132006,資訊管理學系,學士班(日間),3,2,1,1,1,0,0.69
111,私立,一般大學,1006,中國文化大學,07151107,機械工程學系,學士班(日間),1,1,0,1,1,0,0.61
111,私立,一般大學,1006,中國文化大學,07192108,紡織工程學系,學士班(日間),1,0,1,0,0,0,0.61
111,私立,一般大學,1006,中國文化大學,07311068,建築及都市設計學系,學士班(日間),3,3,0,1,1,0,1.57
111,私立,一般大學,1006,中國文化大學,07312103,景觀學系,學士班(日間),4,2,2,3,1,2,4.05
111,私立,一般大學,1006,中國文化大學,07313118,都市計劃與開發管理學系,學士班(日間),0,0,0,1,0,1,0.56
111,私立,一般大學,1006,中國文化大學,08112116,動物科學系,學士班(日間),0,0,0,5,1,4,2.84
111,私立,一般大學,1006,中國文化大學,08121106,園藝暨生物技術學系,學士班(日間),2,1,1,2,2,0,2.33
111,私立,一般大學,1006,中國文化大學,08211054,森林暨自然保育學系,學士班(日間),0,0,0,7,5,2,3.21
111,私立,一般大學,1006,中國文化大學,09299082,社會福利學系,學士班(日間),2,0,2,5,3,2,1.61
111,私立,一般大學,1006,中國文化大學,10111090,生活應用科學系,學士班(日間),5,2,3,1,1,0,2.37
111,私立,一般大學,1006,中國文化大學,10141002,技擊運動暨國術學系,學士班(日間),3,3,0,3,3,0,2.80
111,私立,一般大學,1006,中國文化大學,10142093,運動與健康促進學系,學士班(日間),3,2,1,12,8,4,5.60
111,私立,一般大學,1006,中國文化大學,10151005,觀光事業學系,學士班(日間),13,6,7,14,5,9,5.18
111,私立,一般大學,1007,逢甲大學,02122006,創新設計學士學位學程,學士班(日間),1,1,0,1,1,0,66.67
111,私立,一般大學,1007,逢甲大學,02311002,外國語文學系,學士班(日間),9,5,4,18,9,9,6.05
111,私立,一般大學,1007,逢甲大學,02322001,中國文學系,學士班(日間),4,2,2,7,4,3,4.82
111,私立,一般大學,1007,逢甲大學,03111009,經濟學系,學士班(日間),1,1,0,6,6,0,1.59
111,私立,一般大學,1007,逢甲大學,03111012,合作經濟暨社會事業經營學系,學士班(日間),1,1,0,1,1,0,0.85
