學年度,設立別,學校類別,學校統計處代碼,學校名稱,學制班別,性別,在學學生數,於學年底處於休學狀態之人數-總計,於學年底處於休學狀態之人數-學生自請休學原因-小計,於學年底處於休學狀態之人數-學生自請休學原因-傷病,於學年底處於休學狀態之人數-學生自請休學原因-經濟困難,於學年底處於休學狀態之人數-學生自請休學原因-就讀學校、科系不符期待,於學年底處於休學狀態之人數-學生自請休學原因-學業成績不佳,於學年底處於休學狀態之人數-學生自請休學原因-工作,於學年底處於休學狀態之人數-學生自請休學原因-懷孕,於學年底處於休學狀態之人數-學生自請休學原因-育嬰,於學年底處於休學狀態之人數-學生自請休學原因-兵役,於學年底處於休學狀態之人數-學生自請休學原因-出國,於學年底處於休學狀態之人數-學生自請休學原因-論文撰寫,於學年底處於休學狀態之人數-學生自請休學原因-就學環境,於學年底處於休學狀態之人數-學生自請休學原因-家務或家人照顧,於學年底處於休學狀態之人數-學生自請休學原因-考試訓練,於學年底處於休學狀態之人數-學生自請休學原因-其他,於學年底處於休學狀態之人數-學校勒令休學原因-小計,於學年底處於休學狀態之人數-學校勒令休學原因-違反校規,於學年底處於休學狀態之人數-學校勒令休學原因-其他
111,公立,一般大學,0008,國立中央大學,學士班(日間),女,2331,66,66,7,2,35,3,0,0,0,0,14,0,1,1,3,0,0,0,0
111,公立,一般大學,0008,國立中央大學,碩士班(日間),女,1211,129,129,10,5,43,2,21,0,1,0,7,28,4,2,6,0,0,0,0
111,公立,一般大學,0008,國立中央大學,碩士在職專班,女,542,106,106,7,2,5,0,38,5,21,0,1,21,0,4,1,1,0,0,0
111,公立,一般大學,0008,國立中央大學,博士班,女,312,55,55,6,3,4,0,8,2,8,0,0,18,0,6,0,0,0,0,0
111,公立,一般大學,0009,國立中山大學,學士班(日間),男,2976,93,89,3,0,44,8,6,0,0,1,6,0,4,13,4,0,4,0,4
111,公立,一般大學,0009,國立中山大學,碩士班(日間),男,2072,183,182,9,6,26,1,46,0,2,4,4,28,6,37,13,0,1,0,1
111,公立,一般大學,0009,國立中山大學,碩士在職專班,男,537,101,100,2,1,1,0,52,0,11,0,0,13,0,20,0,0,1,0,1
111,公立,一般大學,0009,國立中山大學,博士班,男,558,111,111,5,0,4,0,48,0,3,0,1,27,0,23,0,0,0,0,0
111,公立,一般大學,0009,國立中山大學,學士班(日間),女,1969,63,62,4,1,25,0,3,1,0,0,10,0,4,12,2,0,1,0,1
111,公立,一般大學,0009,國立中山大學,碩士班(日間),女,1330,136,135,10,3,14,1,36,4,11,0,5,28,2,19,2,0,1,0,1
