學年度,設立別,學校類別,學校統計處代碼,學校名稱,學制班別(日間),國家(地區)別(108.12新增),國家(地區)區域別(108.12新增),畢業境外生總人數小計,畢業境外生總人數男,畢業境外生總人數女,畢業外國學生小計,畢業外國學生男,畢業外國學生女,畢業僑生小計,畢業僑生男,畢業僑生女,畢業港澳生小計,畢業港澳生男,畢業港澳生女,畢業大陸地區來臺學位生小計,畢業大陸地區來臺學位生男,畢業大陸地區來臺學位生女
113,公立,一般大學,0001,國立政治大學,博士班,大韓民國(南韓),其他亞洲地區,2,2,0,2,2,0,0,0,0,0,0,0,0,0,0
113,公立,一般大學,0001,國立政治大學,博士班,馬來西亞,東協,3,1,2,1,0,1,2,1,1,0,0,0,0,0,0
113,公立,一般大學,0001,國立政治大學,博士班,巴基斯坦,南亞,1,1,0,1,1,0,0,0,0,0,0,0,0,0,0
113,公立,一般大學,0001,國立政治大學,博士班,菲律賓共和國,東協,1,1,0,1,1,0,0,0,0,0,0,0,0,0,0
113,公立,一般大學,0001,國立政治大學,博士班,泰國,東協,3,1,2,3,1,2,0,0,0,0,0,0,0,0,0
113,公立,一般大學,0001,國立政治大學,博士班,越南社會主義共和國,東協,3,1,2,3,1,2,0,0,0,0,0,0,0,0,0
113,公立,一般大學,0001,國立政治大學,博士班,澳門,港澳,1,1,0,0,0,0,0,0,0,1,1,0,0,0,0
113,公立,一般大學,0001,國立政治大學,博士班,澳大利亞,其他亞洲地區,1,1,0,1,1,0,0,0,0,0,0,0,0,0,0
113,公立,一般大學,0001,國立政治大學,博士班,西班牙王國,歐洲,2,1,1,2,1,1,0,0,0,0,0,0,0,0,0
113,公立,一般大學,0001,國立政治大學,博士班,墨西哥合眾國,中南美洲,1,1,0,1,1,0,0,0,0,0,0,0,0,0,0
113,公立,一般大學,0001,國立政治大學,博士班,尼加拉瓜,中南美洲,1,0,1,1,0,1,0,0,0,0,0,0,0,0,0
113,公立,一般大學,0001,國立政治大學,博士班,美國,北美洲,1,1,0,1,1,0,0,0,0,0,0,0,0,0,0
113,公立,一般大學,0001,國立政治大學,博士班,巴西聯邦共和國,中南美洲,1,0,1,1,0,1,0,0,0,0,0,0,0,0,0
113,公立,一般大學,0001,國立政治大學,博士班,大陸地區,大陸地區,18,10,8,0,0,0,0,0,0,0,0,0,18,10,8
113,公立,一般大學,0002,國立清華大學,學士班(日間),緬甸,東協,1,0,1,0,0,0,1,0,1,0,0,0,0,0,0
113,公立,一般大學,0002,國立清華大學,學士班(日間),印度尼西亞共和國,東協,63,42,21,41,32,9,22,10,12,0,0,0,0,0,0
113,公立,一般大學,0002,國立清華大學,學士班(日間),日本,其他亞洲地區,9,5,4,7,3,4,2,2,0,0,0,0,0,0,0
113,公立,一般大學,0002,國立清華大學,學士班(日間),約旦哈什米王國,其他亞洲地區,1,0,1,0,0,0,1,0,1,0,0,0,0,0,0
113,公立,一般大學,0002,國立清華大學,學士班(日間),大韓民國(南韓),其他亞洲地區,16,7,9,16,7,9,0,0,0,0,0,0,0,0,0
113,公立,一般大學,0002,國立清華大學,學士班(日間),馬來西亞,東協,24,9,15,2,0,2,22,9,13,0,0,0,0,0,0
113,公立,一般大學,0002,國立清華大學,學士班(日間),菲律賓共和國,東協,4,2,2,4,2,2,0,0,0,0,0,0,0,0,0
113,公立,一般大學,0002,國立清華大學,學士班(日間),泰國,東協,14,6,8,11,5,6,3,1,2,0,0,0,0,0,0
113,公立,一般大學,0002,國立清華大學,學士班(日間),越南社會主義共和國,東協,23,8,15,21,7,14,2,1,1,0,0,0,0,0,0
113,公立,一般大學,0002,國立清華大學,學士班(日間),香港,港澳,16,11,5,0,0,0,0,0,0,16,11,5,0,0,0
113,公立,一般大學,0002,國立清華大學,學士班(日間),澳門,港澳,6,4,2,0,0,0,0,0,0,6,4,2,0,0,0
113,公立,一般大學,0002,國立清華大學,學士班(日間),蒙古國,其他亞洲地區,1,1,0,1,1,0,0,0,0,0,0,0,0,0,0
113,公立,一般大學,0002,國立清華大學,學士班(日間),南非共和國,非洲,2,2,0,0,0,0,2,2,0,0,0,0,0,0,0
113,公立,一般大學,0002,國立清華大學,學士班(日間),加拿大,北美洲,2,0,2,0,0,0,2,0,2,0,0,0,0,0,0
113,公立,一般大學,0002,國立清華大學,學士班(日間),多明尼加共和國,中南美洲,1,1,0,0,0,0,1,1,0,0,0,0,0,0,0
113,公立,一般大學,0002,國立清華大學,學士班(日間),瓜地馬拉共和國,中南美洲,1,1,0,1,1,0,0,0,0,0,0,0,0,0,0
113,公立,一般大學,0002,國立清華大學,學士班(日間),海地共和國,中南美洲,1,0,1,1,0,1,0,0,0,0,0,0,0,0,0
113,公立,一般大學,0002,國立清華大學,學士班(日間),宏都拉斯共和國,中南美洲,1,1,0,1,1,0,0,0,0,0,0,0,0,0,0
113,公立,一般大學,0002,國立清華大學,學士班(日間),阿根廷,中南美洲,1,1,0,0,0,0,1,1,0,0,0,0,0,0,0
