學年度,學期,設立別,學校類別,學校統計處代碼,學校名稱,學制班別,性別,在學學生數,學期間退學人數-總計,學期間退學人數-學生自請退學-小計,學期間退學人數-學生自請退學-就讀學校、科系不符期待,學期間退學人數-學生自請退學-懷孕,學期間退學人數-學生自請退學-育嬰,學期間退學人數-學生自請退學-傷病,學期間退學人數-學生自請退學-經濟困難,學期間退學人數-學生自請退學-工作,學期間退學人數-學生自請退學-其他(不含死亡),學期間退學人數-學校勒令退學-小計,學期間退學人數-學校勒令退學-成績不佳或曠課時數過多,學期間退學人數-學校勒令退學-操行成績,學期間退學人數-學校勒令退學-因逾期未註冊,學期間退學人數-學校勒令退學-因休學逾期未復學,學期間退學人數-學校勒令退學-其他(不含死亡)
111,1,公立,一般大學,0007,國立陽明交通大學,碩士在職專班,女,699,24,4,3,0,1,0,0,0,0,20,2,0,18,0,0
111,1,公立,一般大學,0007,國立陽明交通大學,博士班,女,823,38,8,3,0,0,0,0,5,0,30,3,0,24,3,0
111,1,公立,一般大學,0008,國立中央大學,學士班(日間),男,3823,86,30,29,0,0,0,1,0,0,56,13,0,6,37,0
111,1,公立,一般大學,0008,國立中央大學,碩士班(日間),男,2439,75,13,12,0,0,0,0,1,0,62,2,0,10,50,0
111,1,公立,一般大學,0008,國立中央大學,碩士在職專班,男,923,42,8,2,0,0,0,2,4,0,34,5,0,11,18,0
111,1,公立,一般大學,0008,國立中央大學,博士班,男,713,33,7,5,0,0,1,0,1,0,26,5,0,11,10,0
111,1,公立,一般大學,0008,國立中央大學,學士班(日間),女,2331,36,16,16,0,0,0,0,0,0,20,4,0,1,15,0
111,1,公立,一般大學,0008,國立中央大學,碩士班(日間),女,1211,34,4,2,0,0,1,0,1,0,30,1,0,4,25,0
111,1,公立,一般大學,0008,國立中央大學,碩士在職專班,女,542,24,3,2,0,0,0,0,1,0,21,2,0,8,10,1
111,1,公立,一般大學,0008,國立中央大學,博士班,女,312,20,3,2,0,0,1,0,0,0,17,1,0,4,12,0
111,1,公立,一般大學,0009,國立中山大學,學士班(日間),男,2976,69,39,37,0,0,0,0,1,1,30,8,0,2,20,0
111,1,公立,一般大學,0009,國立中山大學,碩士班(日間),男,2072,79,28,6,0,0,0,1,9,12,51,3,0,9,39,0
111,1,公立,一般大學,0009,國立中山大學,碩士在職專班,男,537,37,12,2,0,0,0,0,8,2,25,0,0,5,20,0
111,1,公立,一般大學,0009,國立中山大學,博士班,男,558,29,9,4,0,0,0,0,3,2,20,0,0,10,10,0
111,1,公立,一般大學,0009,國立中山大學,學士班(日間),女,1969,29,22,17,0,0,0,0,0,5,7,1,0,1,5,0
111,1,公立,一般大學,0009,國立中山大學,碩士班(日間),女,1330,44,15,5,0,0,0,0,3,7,29,0,0,5,24,0
111,1,公立,一般大學,0009,國立中山大學,碩士在職專班,女,558,19,7,2,0,0,0,0,2,3,12,0,0,3,9,0
111,1,公立,一般大學,0009,國立中山大學,博士班,女,296,13,8,2,0,0,1,1,2,2,5,0,0,2,3,0
111,1,公立,一般大學,0012,國立臺灣海洋大學,學士班(日間),男,4188,123,96,86,0,0,3,0,7,0,27,4,0,9,14,0
111,1,公立,一般大學,0012,國立臺灣海洋大學,學士班(進修),男,390,30,7,5,0,0,0,0,2,0,23,2,0,9,12,0
111,1,公立,一般大學,0012,國立臺灣海洋大學,碩士班(日間),男,976,64,36,30,0,0,2,0,4,0,28,7,0,13,8,0
111,1,公立,一般大學,0012,國立臺灣海洋大學,碩士在職專班,男,395,31,5,2,0,0,0,0,3,0,26,1,0,6,19,0
111,1,公立,一般大學,0012,國立臺灣海洋大學,博士班,男,240,13,9,5,0,0,0,0,4,0,4,1,0,2,1,0
111,1,公立,一般大學,0012,國立臺灣海洋大學,學士班(日間),女,1906,39,34,28,0,0,0,2,4,0,5,1,0,0,4,0
111,1,公立,一般大學,0012,國立臺灣海洋大學,學士班(進修),女,207,12,5,3,0,0,1,0,1,0,7,0,0,4,3,0
111,1,公立,一般大學,0012,國立臺灣海洋大學,碩士班(日間),女,502,21,15,6,0,0,0,0,9,0,6,2,0,4,0,0
111,1,公立,一般大學,0012,國立臺灣海洋大學,碩士在職專班,女,275,9,1,0,0,0,0,0,1,0,8,1,0,2,5,0
111,1,公立,一般大學,0012,國立臺灣海洋大學,博士班,女,88,6,5,3,0,0,0,0,2,0,1,0,0,0,1,0
111,1,公立,一般大學,0013,國立中正大學,學士班(日間),男,3537,94,52,50,0,0,0,1,0,1,42,9,0,6,27,0
111,1,公立,一般大學,0013,國立中正大學,碩士班(日間),男,1685,62,10,7,0,0,0,0,1,2,52,12,0,6,34,0
111,1,公立,一般大學,0013,國立中正大學,碩士在職專班,男,582,47,5,0,0,0,0,0,5,0,42,8,0,13,21,0
111,1,公立,一般大學,0013,國立中正大學,博士班,男,356,21,6,2,0,0,0,0,2,2,15,8,0,5,2,0
111,1,公立,一般大學,0013,國立中正大學,學士班(日間),女,3021,46,22,22,0,0,0,0,0,0,24,0,0,3,21,0
111,1,公立,一般大學,0013,國立中正大學,碩士班(日間),女,1173,60,18,9,0,0,1,0,2,6,42,9,0,1,32,0
111,1,公立,一般大學,0013,國立中正大學,碩士在職專班,女,817,40,6,2,0,0,1,0,2,1,34,6,0,7,21,0
111,1,公立,一般大學,0013,國立中正大學,博士班,女,202,9,0,0,0,0,0,0,0,0,9,2,0,3,4,0
111,1,公立,一般大學,0014,國立高雄師範大學,學士班(日間),男,1915,79,59,55,0,0,0,0,4,0,20,5,0,12,3,0
111,1,公立,一般大學,0014,國立高雄師範大學,碩士班(日間),男,556,50,23,11,0,0,0,1,10,1,27,3,0,24,0,0
111,1,公立,一般大學,0014,國立高雄師範大學,碩士在職專班,男,497,20,7,6,0,0,0,0,1,0,13,1,0,7,5,0
111,1,公立,一般大學,0014,國立高雄師範大學,博士班,男,214,11,6,2,0,0,1,1,2,0,5,0,0,5,0,0
111,1,公立,一般大學,0014,國立高雄師範大學,學士班(日間),女,1955,55,37,34,0,0,0,0,2,1,18,2,0,12,4,0
111,1,公立,一般大學,0014,國立高雄師範大學,碩士班(日間),女,963,68,35,15,1,0,2,0,17,0,33,7,0,26,0,0
111,1,公立,一般大學,0014,國立高雄師範大學,碩士在職專班,女,888,19,10,7,0,0,0,0,3,0,9,0,0,3,6,0
111,1,公立,一般大學,0014,國立高雄師範大學,博士班,女,231,3,1,0,0,0,1,0,0,0,2,0,0,2,0,0
111,1,公立,一般大學,0015,國立彰化師範大學,學士班(日間),男,2710,78,30,30,0,0,0,0,0,0,48,6,0,10,32,0
111,1,公立,一般大學,0015,國立彰化師範大學,碩士班(日間),男,837,63,5,4,0,0,0,0,1,0,58,13,0,7,38,0
111,1,公立,一般大學,0015,國立彰化師範大學,碩士在職專班,男,556,26,6,1,0,0,0,0,5,0,20,7,0,3,10,0
111,1,公立,一般大學,0015,國立彰化師範大學,博士班,男,288,12,1,1,0,0,0,0,0,0,11,2,0,1,8,0
111,1,公立,一般大學,0015,國立彰化師範大學,學士班(日間),女,2278,43,20,19,0,0,0,0,1,0,23,1,0,1,21,0
111,1,公立,一般大學,0015,國立彰化師範大學,碩士班(日間),女,849,50,6,5,0,0,0,0,1,0,44,6,0,6,32,0
111,1,公立,一般大學,0015,國立彰化師範大學,碩士在職專班,女,808,27,11,1,0,0,1,0,6,3,16,3,0,1,12,0
111,1,公立,一般大學,0015,國立彰化師範大學,博士班,女,200,7,1,0,0,0,0,0,1,0,6,0,0,1,5,0
111,1,公立,一般大學,0017,國立臺北大學,學士班(日間),男,2743,53,23,9,0,0,0,0,0,14,30,13,0,3,14,0
111,1,公立,一般大學,0017,國立臺北大學,學士班(進修),男,816,54,36,16,0,0,2,0,10,8,18,8,0,4,6,0
111,1,公立,一般大學,0017,國立臺北大學,碩士班(日間),男,742,34,6,0,0,0,0,0,1,5,28,6,0,6,16,0
111,1,公立,一般大學,0017,國立臺北大學,碩士在職專班,男,307,16,10,2,0,0,2,0,4,2,6,0,0,1,4,1
111,1,公立,一般大學,0017,國立臺北大學,博士班,男,137,14,3,0,0,1,0,0,0,2,11,3,0,2,6,0
111,1,公立,一般大學,0017,國立臺北大學,學士班(日間),女,3216,30,14,10,0,0,0,0,1,3,16,2,0,2,12,0
111,1,公立,一般大學,0017,國立臺北大學,學士班(進修),女,1155,54,33,18,0,0,2,0,4,9,21,8,0,3,10,0
111,1,公立,一般大學,0017,國立臺北大學,碩士班(日間),女,764,43,13,0,0,1,0,0,7,5,30,3,0,3,24,0
111,1,公立,一般大學,0017,國立臺北大學,碩士在職專班,女,332,11,6,1,0,1,1,0,2,1,5,1,0,2,2,0
111,1,公立,一般大學,0017,國立臺北大學,博士班,女,65,4,1,0,0,0,0,0,1,0,3,2,0,0,1,0
111,1,公立,一般大學,0018,國立嘉義大學,學士班(日間),男,3801,128,70,68,0,0,0,0,2,0,58,15,0,3,40,0
111,1,公立,一般大學,0018,國立嘉義大學,學士班(進修),男,1128,84,24,20,0,0,0,0,4,0,60,20,0,5,35,0
111,1,公立,一般大學,0018,國立嘉義大學,碩士班(日間),男,553,48,16,8,0,0,0,0,8,0,32,3,0,6,23,0
111,1,公立,一般大學,0018,國立嘉義大學,碩士在職專班,男,349,25,2,0,0,0,0,0,2,0,23,4,0,11,8,0
111,1,公立,一般大學,0018,國立嘉義大學,博士班,男,116,6,1,0,0,0,0,0,1,0,5,0,0,1,4,0
111,1,公立,一般大學,0018,國立嘉義大學,學士班(日間),女,3537,99,63,62,0,0,0,0,1,0,36,4,0,6,26,0
111,1,公立,一般大學,0018,國立嘉義大學,學士班(進修),女,703,38,19,16,0,0,0,0,3,0,19,4,0,3,12,0
111,1,公立,一般大學,0018,國立嘉義大學,碩士班(日間),女,657,41,15,6,0,0,0,0,9,0,26,6,0,2,18,0
111,1,公立,一般大學,0018,國立嘉義大學,碩士在職專班,女,561,26,14,6,0,1,0,0,7,0,12,4,0,3,5,0
111,1,公立,一般大學,0018,國立嘉義大學,博士班,女,81,2,0,0,0,0,0,0,0,0,2,1,0,1,0,0
