學年度,設立別,學校類別,學校統計處代碼,學校名稱,系所代碼,系所名稱,學制班別(日間),境外學位生數小計,境外學位生數男,境外學位生數女,境外學位生數之在學比率(%)
112,公立,一般大學,0001,國立政治大學,04121068,金融學系,學士班(日間),22,6,16,8.49
112,公立,一般大學,0001,國立政治大學,04121068,金融學系,碩士班(日間),4,1,3,5.19
112,公立,一般大學,0001,國立政治大學,04121068,金融學系,博士班,5,4,1,23.81
112,公立,一般大學,0001,國立政治大學,04122070,財政學系,學士班(日間),11,8,3,2.89
112,公立,一般大學,0001,國立政治大學,04122070,財政學系,碩士班(日間),0,0,0,0.00
112,公立,一般大學,0001,國立政治大學,04122070,財政學系,博士班,0,0,0,0.00
112,公立,一般大學,0001,國立政治大學,04123069,風險管理與保險學系,學士班(日間),13,8,5,5.91
112,公立,一般大學,0001,國立政治大學,04123069,風險管理與保險學系,碩士班(日間),7,3,4,9.33
112,公立,一般大學,0001,國立政治大學,04123069,風險管理與保險學系,博士班,1,1,0,7.69
112,公立,一般大學,0001,國立政治大學,04131060,企業管理研究所(MBA學位學程),碩士班(日間),17,12,5,6.77
112,公立,一般大學,0001,國立政治大學,04131060,企業管理學系,學士班(日間),81,32,49,18.33
112,公立,一般大學,0001,國立政治大學,04131060,企業管理學系,博士班,16,5,11,29.09
112,公立,一般大學,0001,國立政治大學,04131064,國際經營管理英語碩士學位學程,碩士班(日間),49,24,25,39.20
112,公立,一般大學,0001,國立政治大學,04131091,創新國際學院學士班,學士班(日間),81,29,52,51.59
112,公立,一般大學,0001,國立政治大學,04134041,公共行政學系,學士班(日間),7,4,3,3.89
112,公立,一般大學,0001,國立政治大學,04134041,公共行政學系,碩士班(日間),1,0,1,0.96
112,公立,一般大學,0001,國立政治大學,04134041,公共行政學系,博士班,1,1,0,6.25
112,公立,一般大學,0001,國立政治大學,04141067,國際經營與貿易學系,學士班(日間),49,14,35,12.69
112,公立,一般大學,0001,國立政治大學,04141067,國際經營與貿易學系,碩士班(日間),9,4,5,7.26
112,公立,一般大學,0001,國立政治大學,04141067,國際經營與貿易學系,博士班,1,0,1,16.67
112,公立,一般大學,0001,國立政治大學,04143055,廣告學系,學士班(日間),29,2,27,12.18
112,公立,一般大學,0001,國立政治大學,04199072,科技管理與智慧財產研究所,碩士班(日間),8,4,4,4.94
112,公立,一般大學,0001,國立政治大學,04199072,科技管理與智慧財產研究所,博士班,1,0,1,3.13
112,公立,一般大學,0001,國立政治大學,04211073,法律學系,學士班(日間),13,8,5,1.77
112,公立,一般大學,0001,國立政治大學,04211074,法律科際整合研究所,碩士班(日間),1,1,0,1.06
112,公立,一般大學,0001,國立政治大學,04212073,法律學系,碩士班(日間),11,3,8,4.62
112,公立,一般大學,0001,國立政治大學,04212073,法律學系,博士班,3,3,0,6.82
112,公立,一般大學,0001,國立政治大學,05199083,神經科學研究所,碩士班(日間),0,0,0,0.00
112,公立,一般大學,0001,國立政治大學,05331077,應用物理研究所,碩士班(日間),0,0,0,0.00
112,公立,一般大學,0001,國立政治大學,05411078,應用數學系,學士班(日間),3,2,1,1.49
112,公立,一般大學,0001,國立政治大學,05411078,應用數學系,碩士班(日間),0,0,0,0.00
112,公立,一般大學,0001,國立政治大學,05411078,應用數學系,博士班,1,1,0,10.00
112,公立,一般大學,0001,國立政治大學,05421079,統計學系,學士班(日間),14,3,11,5.96
112,公立,一般大學,0001,國立政治大學,05421079,統計學系,碩士班(日間),1,1,0,1.52
112,公立,一般大學,0001,國立政治大學,05421079,統計學系,博士班,2,1,1,28.57
