學年度,設立別,學校類別,學校統計處代碼,學校名稱,系所代碼,系所名稱,日間/進修,學制班別,當學年度總量內核定新生招生名額(A),當學年度新生保留入學資格人數(B),當學年度總量內新生招生核定名額之實際註冊人數(C),當學年度各學系境外(新生)學生實際註冊人數 (E),當學年度新生註冊率(%)D=〔(C+E)/(A-B+E)〕＊100％,當學年度系所招生特色說明,當學年度招生特色說明資訊網
111,私立,技專校院,1023,南臺學校財團法人南臺科技大學,04131015,企業管理系,進修,學士班(含四技),65,0,47,0,72.31,本系培養能為企業規劃經營策略、執行資源整合、並有效管理企業之中階管理人才。因此，課程設計強調理論與實務經驗的結合，並以五管為基礎，同時也強調系統化專業領域知識的建構，學生將能獲得完整的基礎管理知識的訓練，也可根據個人的目標，在特定專業領域中深度學習。,https://recruit.stust.edu.tw/tc/node/feature
111,私立,技專校院,1023,南臺學校財團法人南臺科技大學,04131015,企業管理系,進修,二年制大學(二技),35,0,32,0,91.43,本系培養能為企業規劃經營策略、執行資源整合、並有效管理企業之中階管理人才。因此，課程設計強調理論與實務經驗的結合，並以五管為基礎，同時也強調系統化專業領域知識的建構，學生將能獲得完整的基礎管理知識的訓練，也可根據個人的目標，在特定專業領域中深度學習。,https://recruit.stust.edu.tw/tc/node/feature
111,私立,技專校院,1023,南臺學校財團法人南臺科技大學,04131015,企業管理系碩士在職專班,在職,碩士班,30,0,26,0,86.67,本系培養能為企業規劃經營策略、執行資源整合、並有效管理企業之中階管理人才。因此，課程設計強調理論與實務經驗的結合，並以五管為基礎，同時也強調系統化專業領域知識的建構，學生將能獲得完整的基礎管理知識的訓練，也可根據個人的目標，在特定專業領域中深度學習。,https://recruit.stust.edu.tw/tc/node/feature
111,私立,技專校院,1023,南臺學校財團法人南臺科技大學,04131015,企業管理系碩士班,日間,碩士班,14,0,13,0,92.86,本系培養能為企業規劃經營策略、執行資源整合、並有效管理企業之中階管理人才。因此，課程設計強調理論與實務經驗的結合，並以五管為基礎，同時也強調系統化專業領域知識的建構，學生將能獲得完整的基礎管理知識的訓練，也可根據個人的目標，在特定專業領域中深度學習。此外，課程除了強調理論與實務經驗的結合，並注重學生之語文能力的訓練。另外，因企業國際化的趨勢，本系也注重具有國際視野經營管理人才的養成，並積極鼓勵學生出國學習。,https://recruit.stust.edu.tw/tc/node/feature
111,私立,技專校院,1023,南臺學校財團法人南臺科技大學,04131016,經營管理博士學位學程,日間,博士班,0,0,0,4,100.00,本學位學程在培養有志於經營管理領域，具國際觀與務實致用之高等管理教育的師資人才。因應當前高科技全球競爭環境，管理的教育不只是專業，仍有許多理論與實務應用的結合，有深入探討的必要。尤其，許多理論與應用實務都不斷受到環境與時代的衝擊，而有十足的成長與改變。其中，尤以科技創新與企業效率的互動，所帶來對新附加價值的轉換過程，最值得經營管理的研究與傳承。商管學院涵蓋商管領域的7個碩士班，藉由經營管理博士學位學程之開設，可促進商管領域系所的發展，更能精進商業管理之專業教育與強化商業管理之學術研究。,https://recruit.stust.edu.tw/tc/node/feature
111,私立,技專校院,1023,南臺學校財團法人南臺科技大學,04131017,國際企業系,日間,學士班(含四技),100,0,73,0,73.00,1.培育學生成為具備國際觀、雙外語能力以及具有國際商務之實務技能。  2.培育各企業所樂用之國際貿易與商務企劃專業人才。  3.推動國際交流，以培養學生之國際視野。  4.提供多面向的實務與職場體驗，以培養學生的國際商務實務技能。  5.重視學生實作能力，每年平均約榮獲30件獎項，包括連續五年入選『全球品 牌策畫大賽』臺灣代表隊，並連續三年在『全球品牌策畫大賽』新加坡總決賽中奪得冠軍。『兩岸大學生國際貿易模擬商品展競賽』連年獲總冠軍、『全國大專院校創新商展競賽』連續三年獲總冠軍、『全國大專校院三創行銷競賽』六度奪冠、『全國大專院校 B2B 跨境電商競賽』全國前五強等。,https://recruit.stust.edu.tw/tc/node/feature
111,私立,技專校院,1023,南臺學校財團法人南臺科技大學,04131020,國際商務學士學位學程,日間,學士班(含四技),0,0,0,5,100.00,隨著21世紀國際化趨勢的發展，只有具有國際思維，語言能力，溝通能力的專家和專業人員才能滿足未來全球關鍵人才的需求。南臺一直在努力培養國際人才。“立足臺灣，立足全球”是我們的國際發展理念。除了將我們的學生送往國外並擴大視野之外，國際交流的另一個目標是積極招募國際學生入校，從而為國際學習創造一個環境。我們允許懂中文的國際學生進入我們的一般課程班級；對於不懂中文的人，我們為他們建立了許多全英文的課程班級，作為進階學習和培訓的渠道。,https://recruit.stust.edu.tw/tc/node/feature
111,私立,技專校院,1023,南臺學校財團法人南臺科技大學,04131029,高階主管企管碩士在職專班,在職,碩士班,25,0,19,0,76.00,1.提供工商業界中高階管理者在職進修的機會，可藉以厚實學理基礎、蓄積職涯發展經歷與能量，同時也可增加學員的國際觀與全方位策略運用之能力。 2.導入產業界之典範及敏捷化之管理理念及實務經驗，進而與學術理論進行驗證與融合，提升學員對工作問題的洞察力及解決能力，進而強化學員的實務決策分析能力。 3.課程內容採六管並重的均衡教學規劃，增強學員在產、銷、人、發、財、資訊等全方位的基礎管理能力。此外課程也安排了國際企業研習、商業美學與哲學、企業經營實務研討、創新與創業管理等選修課程，拓展學員的創新管理量能。 4.南臺EMBA學員及校友皆為社會各界之翹楚，具有豐富的社會與實務工作經驗，共同構築出一個南臺灣產業的重要經驗及人脈的交流平臺。加入南臺EMBA，將可透過此項優良的學習平臺，與學員及EMBA校友們進行深度的共學與經驗交流。,https://recruit.stust.edu.tw/tc/node/feature
111,私立,技專校院,1023,南臺學校財團法人南臺科技大學,04132024,行銷與流通管理系,日間,學士班(含四技),120,0,110,0,91.67,1.培育各行各業之行銷與流通管理之專業人才。  2.本系教師兼具理論與實務、重視創意與創新能力之訓練。  3.本系透過啟發式與互動式教學，訓練學生獨立思考與解決問題之能力，俾從各項競賽培育學生良好態度與責任成為優質人才。  4.本系已與多家企業長期合作，配合校外實習，達到畢業即就業，上班即上手之目標。  5.目前本系系友任職於各大企業，成為本系學生未來就職之後盾。,https://recruit.stust.edu.tw/tc/node/feature
111,私立,技專校院,1023,南臺學校財團法人南臺科技大學,04132024,行銷與流通管理系,進修,學士班(含四技),65,0,32,0,49.23,1.培育各行各業之行銷與流通管理之專業人才。  2.本系教師兼具理論與實務、重視創新能力之訓練。  3.本系透過啟發式與互動式教學，訓練學生獨立思考與解決問題之能力，以培育學生良好態度與責任成為優質人才。  4.本系已與多家企業合作，可安心就學。  5.目前本系系友任職於各大企業，成為本系學生未來轉換跑道之後盾。,https://recruit.stust.edu.tw/tc/node/feature
111,私立,技專校院,1023,南臺學校財團法人南臺科技大學,04132024,行銷與流通管理系碩士在職專班,在職,碩士班,22,0,17,0,77.27,1.培育各行各業之行銷與流通管理之專業人才。  2.本系教師兼具理論與實務、重視創新能力之訓練。  3.本系透過啟發式與互動式教學，訓練學生獨立思考與解決問題之能力，重視實務能力，成為優質人才。  4.目前本系系友任職於各大企業，且與本系互動良好，成為本系學生擴大事業之最大後盾。,https://recruit.stust.edu.tw/tc/node/feature
111,私立,技專校院,1023,南臺學校財團法人南臺科技大學,04199060,工業管理與資訊系,日間,學士班(含四技),136,0,103,2,76.09,大學部招收工業管理組及電子商務組。「工管組」教育主軸朝工業4.0與智慧製造發展，訓練從事中小型企業與高科技廠房營運作業管理等工作職能，以培養可提昇產業智慧經營績效之優質管理人才；「電商組」教育主軸朝全通路銷售模式發展，結合社群平臺資訊技術與電商營運管理模式，訓練從事跨境電商營運的工作職能，以培養可從事電商產業經營管理與數位轉型應用之優質管理人才。課程特色：(1)課程學程化，於工管組分「生產與物流管理」及「品質管理」專業選修學程，於電商組分「電商經營管理」及「電商系統管理」專業選修學程，以課程模組化來引導學生修課，以培養就業技能(2)結合三創校園理念，融合產學合作及三創活動，以體驗學習方法培養「T型人才」(3)規劃通識與專業課程整合，強化學生讀、寫、表達、思考的核心技能(4)配合簽定合作MOU之廠商、業界師資與課程統合規劃，以便讓教學、研究與實作學習上更貼近未來職場所需，促進特色領域發展。,https://recruit.stust.edu.tw/tc/node/feature
111,私立,技專校院,1023,南臺學校財團法人南臺科技大學,04199060,工業管理與資訊系工業管理碩士在職專班,在職,碩士班,12,0,8,0,66.67,1.本所研究方向共分五大領域： A.生產與物流管理 B.品質管理與品保制度 C.電子商務暨企業資源規劃 D.數量方法與決策系統 E.科技與創新管理。 本所課程之設計融合技術與管理，學術理論與實務應用並重，且結合資訊系統與技術以提升研究與教學品質，並進而提升實作、研究與職場進階應用能力。 2. 未來發展: 應用產業管理知識，結合學術理論與實務應用，培養解決產業問題、促進創新思維及提升經營績效能力之生產與作業管理工程師、物流與存貨管理工程師及品質管理工程師等高級管理人才，並加強碩士生語言訓練及資訊技術應用能力以因應產業升級與產業國際化發展之需求。,https://recruit.stust.edu.tw/tc/node/feature
111,私立,技專校院,1023,南臺學校財團法人南臺科技大學,04199064,商管學院全球經營管理碩士班,日間,碩士班,40,0,27,12,75.00,"因應企業全球化的趨勢，全球經營管理碩士班(Global Master of Business Administration, GMBA)注重具國際化經營管理人才的養成，其目標在培育具備國際溝通能力、多元寬廣的商業與管理知識而能研析跨領域的各種商管課題、以及具備領袖特質與倫理精神的領袖人才。循此目標，在課程設計上，將以多元寬廣的商管知識取代因為追求專精而嫌窄化的課程結構，講求實務應用取向與個案研析，並且與來自各國之國際學生一同修習課程，增進國際間之交流，促進不同層次國際管理經驗之汲取。 GMBA成立以來即配合商管學院之國際化政策，積極辦理各項國際交流活動，各國際交流活動分述如下： * 通過國際商管認證 AACSB 本學制配合商管學院，建構持續改善之教學品保機制，商管學院亦加入AACSB成為該國際組織會員，商管學院全部系所皆已通過AACSB國際商管教育認證。 * 邀請國外學者蒞臨短期講學 為使GMBA之學生接收多元性的國際管理知能，本班每年皆會配合商管學院邀請國際學者至本班作短期之授課。 * 舉辦各類國際學術研討會 GMBA自2004年起每年皆協助商管學院舉辦「知識經濟與全球化管理國際研討會」，每年均有來自各國的學者參與此研討會，而籍此研討會的舉辦亦讓本班的學生能參與國際學術會議並與國際學術接軌。",https://recruit.stust.edu.tw/tc/node/feature
111,私立,技專校院,1023,南臺學校財團法人南臺科技大學,04212033,財經法律研究所,日間,碩士班,13,0,8,0,61.54,南臺科技大學財經法律研究所除了維持傳統財經法律科目的研習外，特別重視學生實務訓練，開設訴狀寫作、契約寫作、智財授權實務、民商審判實務等課程，學生透過親自參與法律實務、了解產業現況，可以更容易找到未來發展的方向。 另本所 本所學生成員涵蓋醫師、銀行經理、公務人員及產業界專家等，各行各業人才齊聚一堂，互相交流，師生得以教學相長。,https://recruit.stust.edu.tw/tc/node/feature
